Source,Target,Subject
Varro Awelon,Benito Hawelon,RE: Don't text and drive!
Varro Awelon,Cecilia Morluniau,RE: Don't text and drive!
Varro Awelon,Varro Awelon,RE: Don't text and drive!
Varro Awelon,Albina Hafon,RE: Don't text and drive!
Varro Awelon,Dante Coginian,RE: Don't text and drive!
Varro Awelon,Claudio Hawelon,RE: Don't text and drive!
Dante Coginian,Lucas Alcazar,Congratulations on your service anniversary
Nils Calixto,Nils Calixto,RE: GT-SeismicProcessorPro Bug Report
Nils Calixto,Sven Flecha,RE: GT-SeismicProcessorPro Bug Report
Willem Vasco-Pais,Orhan Strum,RE: IPO
Willem Vasco-Pais,Willem Vasco-Pais,RE: IPO
Benito Hawelon,Claudio Hawelon,RE: New refueling policies - Effective February 1
Benito Hawelon,Dante Coginian,RE: New refueling policies - Effective February 1
Benito Hawelon,Valeria Morlun,RE: New refueling policies - Effective February 1
Benito Hawelon,Albina Hafon,RE: New refueling policies - Effective February 1
Benito Hawelon,Emile Arpa,RE: New refueling policies - Effective February 1
Benito Hawelon,Cecilia Morluniau,RE: New refueling policies - Effective February 1
Benito Hawelon,Adan Morlun,RE: New refueling policies - Effective February 1
Benito Hawelon,Benito Hawelon,RE: New refueling policies - Effective February 1
Benito Hawelon,Varro Awelon,RE: New refueling policies - Effective February 1
Axel Calzas,Lars Azada,Meeting
Dante Coginian,Valeria Morlun,RE: New refueling policies - Effective February 1
Dante Coginian,Albina Hafon,RE: New refueling policies - Effective February 1
Dante Coginian,Varro Awelon,RE: New refueling policies - Effective February 1
Dante Coginian,Benito Hawelon,RE: New refueling policies - Effective February 1
Dante Coginian,Dante Coginian,RE: New refueling policies - Effective February 1
Benito Hawelon,Dante Coginian,RE: Route suggestion for next shift
Benito Hawelon,Albina Hafon,RE: Route suggestion for next shift
Benito Hawelon,Benito Hawelon,RE: Route suggestion for next shift
Benito Hawelon,Henk Mies,RE: Route suggestion for next shift
Nils Calixto,Nils Calixto,RE: GT-SeismicProcessorPro Bug Report
Nils Calixto,Sven Flecha,RE: GT-SeismicProcessorPro Bug Report
Axel Calzas,Felix Balas,RE: Wellhead flow rate data
Axel Calzas,Lars Azada,RE: Wellhead flow rate data
Axel Calzas,Elsa Orilla,RE: Wellhead flow rate data
Axel Calzas,Birgitta Frente,RE: Wellhead flow rate data
Axel Calzas,Kare Orilla,RE: Wellhead flow rate data
Axel Calzas,Isande Borrasca,RE: Wellhead flow rate data
Axel Calzas,Gustav Cazar,RE: Wellhead flow rate data
Axel Calzas,Axel Calzas,RE: Wellhead flow rate data
Axel Calzas,Vira Frente,RE: Wellhead flow rate data
Albina Hafon,Dante Coginian,RE: Route suggestion for next shift
Albina Hafon,Albina Hafon,RE: Route suggestion for next shift
Albina Hafon,Benito Hawelon,RE: Route suggestion for next shift
Albina Hafon,Henk Mies,RE: Route suggestion for next shift
Anda Ribera,Mat Bramar,RE: Craft night
Anda Ribera,Anda Ribera,RE: Craft night
Anda Ribera,Rachel Pantanal,RE: Craft night
Anda Ribera,Linda Lagos,RE: Craft night
Anda Ribera,Ruscella Mies,RE: Craft night
Anda Ribera,Carla Forluniau,RE: Craft night
Anda Ribera,Cornelia Lais,RE: Craft night
Vira Frente,Isande Borrasca,Wellhead flow rate data
Vira Frente,Elsa Orilla,Wellhead flow rate data
Vira Frente,Felix Balas,Wellhead flow rate data
Vira Frente,Brand Tempestad,Wellhead flow rate data
Vira Frente,Kare Orilla,Wellhead flow rate data
Vira Frente,Adra Nubarron,Wellhead flow rate data
Vira Frente,Lars Azada,Wellhead flow rate data
Vira Frente,Marin Onda,Wellhead flow rate data
Vira Frente,Gustav Cazar,Wellhead flow rate data
Ruscella Mies,Mat Bramar,RE: Craft night
Ruscella Mies,Anda Ribera,RE: Craft night
Ruscella Mies,Rachel Pantanal,RE: Craft night
Ruscella Mies,Linda Lagos,RE: Craft night
Ruscella Mies,Ruscella Mies,RE: Craft night
Ruscella Mies,Carla Forluniau,RE: Craft night
Ruscella Mies,Cornelia Lais,RE: Craft night
Willem Vasco-Pais,Orhan Strum,RE: IPO
Willem Vasco-Pais,Willem Vasco-Pais,RE: IPO
