source,target,weight
Adra Nubarron,Willem Vasco-Pais,1
Adra Nubarron,Ingrid Barranco,1
Adra Nubarron,Sten Sanjorge Jr,1
Adra Nubarron,Orhan Strum,1
Adra Nubarron,Ada Campo-Corrente,1
Hideki Cocinaro,Willem Vasco-Pais,2
Hideki Cocinaro,Ingrid Barranco,2
Hideki Cocinaro,Sten Sanjorge Jr,2
Hideki Cocinaro,Orhan Strum,2
Hideki Cocinaro,Ada Campo-Corrente,2
Felix Resumir,Willem Vasco-Pais,1
Felix Resumir,Ingrid Barranco,1
Felix Resumir,Sten Sanjorge Jr,1
Felix Resumir,Orhan Strum,1
Felix Resumir,Ada Campo-Corrente,1
