source,target,weight
Hideki Cocinaro,Kanon Herrero,2
Hideki Cocinaro,Felix Resumir,2
Hideki Cocinaro,Varja Lagos,3
Hideki Cocinaro,Isia Vann,3
Hideki Cocinaro,Edvard Vann,3
Hideki Cocinaro,Hennie Osvaldo,3
Hideki Cocinaro,Minke Mies,3
Hideki Cocinaro,Inga Ferro,3
Hideki Cocinaro,Stenig Fusil,3
Hideki Cocinaro,Loreto Bodrogi,2
Felix Resumir,Kanon Herrero,1
Felix Resumir,Hideki Cocinaro,1
Felix Resumir,Varja Lagos,1
Felix Resumir,Isia Vann,1
Felix Resumir,Edvard Vann,1
Felix Resumir,Hennie Osvaldo,1
Felix Resumir,Minke Mies,1
Felix Resumir,Inga Ferro,1
Felix Resumir,Stenig Fusil,1
Felix Resumir,Loreto Bodrogi,1
