source,target,weight
Adra Nubarron,Kanon Herrero,1
Adra Nubarron,Felix Resumir,1
Adra Nubarron,Hideki Cocinaro,1
Adra Nubarron,Varja Lagos,1
Adra Nubarron,Isia Vann,1
Adra Nubarron,Edvard Vann,1
Adra Nubarron,Hennie Osvaldo,1
Adra Nubarron,Minke Mies,1
Adra Nubarron,Inga Ferro,1
Adra Nubarron,Stenig Fusil,1
Adra Nubarron,Loreto Bodrogi,1
Hideki Cocinaro,Kanon Herrero,2
Hideki Cocinaro,Felix Resumir,2
Hideki Cocinaro,Varja Lagos,3
Hideki Cocinaro,Isia Vann,3
Hideki Cocinaro,Edvard Vann,3
Hideki Cocinaro,Hennie Osvaldo,3
Hideki Cocinaro,Minke Mies,3
Hideki Cocinaro,Inga Ferro,3
Hideki Cocinaro,Stenig Fusil,3
Hideki Cocinaro,Loreto Bodrogi,2
Felix Resumir,Kanon Herrero,1
Felix Resumir,Hideki Cocinaro,1
Felix Resumir,Varja Lagos,1
Felix Resumir,Isia Vann,1
Felix Resumir,Edvard Vann,1
Felix Resumir,Hennie Osvaldo,1
Felix Resumir,Minke Mies,1
Felix Resumir,Inga Ferro,1
Felix Resumir,Stenig Fusil,1
Felix Resumir,Loreto Bodrogi,1
