source,target,weight
Anda Ribera,Cornelia Lais,1
Anda Ribera,Carla Forluniau,1
Anda Ribera,Rachel Pantanal,1
Anda Ribera,Mat Bramar,1
Anda Ribera,Linda Lagos,1
Rachel Pantanal,Cornelia Lais,1
Rachel Pantanal,Carla Forluniau,1
Rachel Pantanal,Mat Bramar,1
Rachel Pantanal,Linda Lagos,1
Rachel Pantanal,Anda Ribera,1
Mat Bramar,Cornelia Lais,1
Mat Bramar,Carla Forluniau,1
Mat Bramar,Rachel Pantanal,1
Mat Bramar,Linda Lagos,1
Mat Bramar,Anda Ribera,1
Linda Lagos,Cornelia Lais,1
Linda Lagos,Carla Forluniau,1
Linda Lagos,Rachel Pantanal,1
Linda Lagos,Mat Bramar,1
Linda Lagos,Anda Ribera,1
