source,target,weight
Ruscella Mies,Lucas Alcazar,1
Ruscella Mies,Nils Calixto,1
Ruscella Mies,Linnea Bergen,1
Ruscella Mies,Isak Baza,1
Ruscella Mies,Sven Flecha,1
Sven Flecha,Lucas Alcazar,3
Sven Flecha,Nils Calixto,3
Sven Flecha,Isak Baza,3
Loreto Bodrogi,Lucas Alcazar,1
Loreto Bodrogi,Nils Calixto,1
Loreto Bodrogi,Linnea Bergen,1
Loreto Bodrogi,Isak Baza,1
Loreto Bodrogi,Sven Flecha,1
Lucas Alcazar,Nils Calixto,1
Lucas Alcazar,Linnea Bergen,1
Lucas Alcazar,Isak Baza,1
Lucas Alcazar,Sven Flecha,1
Isak Baza,Lucas Alcazar,3
Isak Baza,Nils Calixto,3
Isak Baza,Sven Flecha,3
