source,target,weight
Irene Nant,Claudio Hawelon,3
Irene Nant,Cecilia Morluniau,2
Irene Nant,Adan Morlun,2
Irene Nant,Emile Arpa,3
Irene Nant,Dylan Scozzese,3
Irene Nant,Benito Hawelon,2
Irene Nant,Dante Coginian,2
Irene Nant,Varro Awelon,2
Mat Bramar,Cecilia Morluniau,1
Mat Bramar,Valeria Morlun,1
Mat Bramar,Varro Awelon,1
Mat Bramar,Dante Coginian,1
Mat Bramar,Bertrand Ovan,1
Mat Bramar,Dylan Scozzese,1
Mat Bramar,Claudio Hawelon,1
Mat Bramar,Irene Nant,1
Mat Bramar,Henk Mies,1
Mat Bramar,Adan Morlun,1
Mat Bramar,Emile Arpa,1
Mat Bramar,Benito Hawelon,1
Mat Bramar,Albina Hafon,1
Dylan Scozzese,Henk Mies,1
Dylan Scozzese,Valeria Morlun,1
Dylan Scozzese,Varro Awelon,1
Dylan Scozzese,Benito Hawelon,1
Dylan Scozzese,Albina Hafon,1
Dante Coginian,Claudio Hawelon,1
Dante Coginian,Irene Nant,1
Dante Coginian,Cecilia Morluniau,1
Dante Coginian,Adan Morlun,1
Dante Coginian,Henk Mies,1
Dante Coginian,Emile Arpa,1
Dante Coginian,Dylan Scozzese,1
Dante Coginian,Benito Hawelon,1
Dante Coginian,Varro Awelon,1
