source,target,weight
Ada Campo-Corrente,Orhan Strum,1
Ada Campo-Corrente,Sten Sanjorge Jr (tethys),1
Ada Campo-Corrente,Willem Vasco-Pais,1
Ada Campo-Corrente,Sten Sanjorge Jr,1
Willem Vasco-Pais,Orhan Strum,1
Willem Vasco-Pais,Ada Campo-Corrente,1
Willem Vasco-Pais,Sten Sanjorge Jr (tethys),1
Willem Vasco-Pais,Sten Sanjorge Jr,1
Varro Awelon,Willem Vasco-Pais,1
Varro Awelon,Ingrid Barranco,1
Varro Awelon,Sten Sanjorge Jr,1
Varro Awelon,Orhan Strum,1
Varro Awelon,Ada Campo-Corrente,1
Inga Ferro,Willem Vasco-Pais,3
Inga Ferro,Ingrid Barranco,3
Inga Ferro,Sten Sanjorge Jr,3
Inga Ferro,Orhan Strum,3
Inga Ferro,Ada Campo-Corrente,3
Anda Ribera,Willem Vasco-Pais,1
Anda Ribera,Ingrid Barranco,1
Anda Ribera,Sten Sanjorge Jr,1
Anda Ribera,Orhan Strum,1
Anda Ribera,Ada Campo-Corrente,1
