source,target,weight
Cecilia Morluniau,Albina Hafon,1
Cecilia Morluniau,Dylan Scozzese,1
Cecilia Morluniau,Benito Hawelon,1
Dylan Scozzese,Adan Morlun,1
Valeria Morlun,Albina Hafon,1
Valeria Morlun,Dylan Scozzese,1
Valeria Morlun,Henk Mies,1
Valeria Morlun,Adan Morlun,1
Albina Hafon,Bertrand Ovan,1
Albina Hafon,Claudio Hawelon,1
Albina Hafon,Irene Nant,1
Albina Hafon,Cecilia Morluniau,1
Albina Hafon,Adan Morlun,1
Albina Hafon,Henk Mies,1
Albina Hafon,Emile Arpa,1
Albina Hafon,Dylan Scozzese,1
Albina Hafon,Valeria Morlun,1
Albina Hafon,Benito Hawelon,1
Albina Hafon,Dante Coginian,1
