source,target,weight
Irene Nant,Adan Morlun,1
Irene Nant,Emile Arpa,1
Irene Nant,Dylan Scozzese,1
Irene Nant,Dante Coginian,1
Henk Mies,Claudio Hawelon,1
Henk Mies,Irene Nant,1
Henk Mies,Cecilia Morluniau,1
Henk Mies,Emile Arpa,1
Henk Mies,Dylan Scozzese,1
Henk Mies,Valeria Morlun,1
Henk Mies,Benito Hawelon,1
Henk Mies,Dante Coginian,1
Henk Mies,Albina Hafon,1
Henk Mies,Varro Awelon,1
Adan Morlun,Irene Nant,1
Adan Morlun,Emile Arpa,1
Adan Morlun,Dylan Scozzese,1
Adan Morlun,Dante Coginian,1
Dylan Scozzese,Albina Hafon,2
Dylan Scozzese,Henk Mies,2
Dylan Scozzese,Adan Morlun,5
