source,target,weight
Felix Balas,Lidelse Dedos,3
Felix Balas,Brand Tempestad,3
Felix Balas,Adra Nubarron,3
Felix Balas,Isande Borrasca,3
Felix Balas,Marin Onda,3
Felix Balas,Kare Orilla,3
Lidelse Dedos,Felix Balas,1
Lidelse Dedos,Brand Tempestad,1
Lidelse Dedos,Adra Nubarron,1
Lidelse Dedos,Isande Borrasca,1
Lidelse Dedos,Marin Onda,1
Lidelse Dedos,Kare Orilla,1
Brand Tempestad,Adra Nubarron,1
Brand Tempestad,Isande Borrasca,1
Brand Tempestad,Elsa Orilla,1
Brand Tempestad,Marin Onda,1
Brand Tempestad,Kare Orilla,1
Ingrid Barranco,Felix Balas,1
Ingrid Barranco,Lidelse Dedos,1
Ingrid Barranco,Adra Nubarron,1
Ingrid Barranco,Marin Onda,1
Ingrid Barranco,Gustav Cazar,1
Ingrid Barranco,Birgitta Frente,1
Ingrid Barranco,Brand Tempestad,1
Ingrid Barranco,Isande Borrasca,1
Ingrid Barranco,Lars Azada,1
Ingrid Barranco,Elsa Orilla,1
Ingrid Barranco,Kare Orilla,1
Ingrid Barranco,Axel Calzas,1
Ingrid Barranco,Vira Frente,1
Elsa Orilla,Brand Tempestad,1
Elsa Orilla,Adra Nubarron,1
Elsa Orilla,Isande Borrasca,1
Elsa Orilla,Marin Onda,1
Elsa Orilla,Kare Orilla,1
Kare Orilla,Brand Tempestad,1
Kare Orilla,Adra Nubarron,1
Kare Orilla,Isande Borrasca,1
Kare Orilla,Elsa Orilla,1
Kare Orilla,Marin Onda,1
