source,target,weight
Varja Lagos,Loreto Bodrogi,1
Varja Lagos,Kanon Herrero,1
Varja Lagos,Hideki Cocinaro,1
Varja Lagos,Hennie Osvaldo,1
Varja Lagos,Minke Mies,1
Varja Lagos,Inga Ferro,1
Kanon Herrero,Varja Lagos,1
Kanon Herrero,Loreto Bodrogi,1
Kanon Herrero,Hideki Cocinaro,1
Kanon Herrero,Hennie Osvaldo,1
Kanon Herrero,Minke Mies,1
Kanon Herrero,Inga Ferro,1
Edvard Vann,Varja Lagos,1
Edvard Vann,Loreto Bodrogi,1
Edvard Vann,Hideki Cocinaro,1
Edvard Vann,Felix Resumir,1
Edvard Vann,Hennie Osvaldo,1
Edvard Vann,Minke Mies,1
Edvard Vann,Stenig Fusil,1
