source,target,weight
Sven Flecha,Lucas Alcazar,1
Sven Flecha,Nils Calixto,5
Sven Flecha,Isak Baza,1
Isak Baza,Lucas Alcazar,6
Linnea Bergen,Irene Nant,6
Linnea Bergen,Albina Hafon,6
Linnea Bergen,Isia Vann,6
Linnea Bergen,Ingrid Barranco,6
Linnea Bergen,Cornelia Lais,6
Linnea Bergen,Rachel Pantanal,6
Linnea Bergen,Lars Azada,6
Linnea Bergen,Mat Bramar,6
Linnea Bergen,Orhan Strum,6
Linnea Bergen,Varro Awelon,6
Linnea Bergen,Emile Arpa,6
Linnea Bergen,Sven Flecha,6
Linnea Bergen,Felix Resumir,6
Linnea Bergen,Ruscella Mies,6
Linnea Bergen,Birgitta Frente,6
Linnea Bergen,Sten Sanjorge Jr,6
Linnea Bergen,Dante Coginian,6
Linnea Bergen,Axel Calzas,6
Linnea Bergen,Lidelse Dedos,6
Linnea Bergen,Gustav Cazar,6
Linnea Bergen,Adan Morlun,6
Linnea Bergen,Claudio Hawelon,6
Linnea Bergen,Isak Baza,6
Linnea Bergen,Elsa Orilla,6
Linnea Bergen,Brand Tempestad,6
Linnea Bergen,Stenig Fusil,6
Linnea Bergen,Edvard Vann,6
Linnea Bergen,Varja Lagos,6
Linnea Bergen,Minke Mies,6
Linnea Bergen,Carla Forluniau,6
Linnea Bergen,Felix Balas,6
Linnea Bergen,Isande Borrasca,6
Linnea Bergen,Valeria Morlun,6
Linnea Bergen,Benito Hawelon,6
Linnea Bergen,Hideki Cocinaro,6
Linnea Bergen,Marin Onda,6
Linnea Bergen,Cecilia Morluniau,6
Linnea Bergen,Adra Nubarron,6
Linnea Bergen,Lucas Alcazar,6
Linnea Bergen,Vira Frente,6
Linnea Bergen,Kare Orilla,6
Linnea Bergen,Hennie Osvaldo,6
Linnea Bergen,Kanon Herrero,6
Linnea Bergen,Nils Calixto,6
Linnea Bergen,Bertrand Ovan,6
Linnea Bergen,Ada Campo-Corrente,6
Linnea Bergen,Loreto Bodrogi,6
Linnea Bergen,Dylan Scozzese,6
Linnea Bergen,Willem Vasco-Pais,6
Linnea Bergen,Linda Lagos,6
Linnea Bergen,Henk Mies,6
Linnea Bergen,Anda Ribera,6
Linnea Bergen,Inga Ferro,6
Lucas Alcazar,Nils Calixto,5
Lucas Alcazar,Isak Baza,11
Lucas Alcazar,Sven Flecha,5
Lucas Alcazar,Dante Coginian,5
Nils Calixto,Sven Flecha,11
Nils Calixto,Kanon Herrero,10
Mat Bramar,Sven Flecha,6
Mat Bramar,Isak Baza,6
Mat Bramar,Linnea Bergen,6
Mat Bramar,Lucas Alcazar,6
Mat Bramar,Nils Calixto,6
Ruscella Mies,Sven Flecha,5
Ruscella Mies,Isak Baza,5
Ruscella Mies,Linnea Bergen,5
Ruscella Mies,Lucas Alcazar,5
Ruscella Mies,Nils Calixto,5
Dante Coginian,Lucas Alcazar,6
Kanon Herrero,Nils Calixto,15
