source,target,weight
Irene Nant,Albina Hafon,5
Irene Nant,Varro Awelon,5
Irene Nant,Bertrand Ovan,5
Irene Nant,Adan Morlun,5
Irene Nant,Claudio Hawelon,5
Irene Nant,Henk Mies,5
Irene Nant,Cecilia Morluniau,5
Irene Nant,Dante Coginian,5
Isia Vann,Rachel Pantanal,5
Cornelia Lais,Rachel Pantanal,13
Cornelia Lais,Carla Forluniau,13
Cornelia Lais,Mat Bramar,13
Cornelia Lais,Hideki Cocinaro,8
Cornelia Lais,Ruscella Mies,13
Cornelia Lais,Linda Lagos,13
Cornelia Lais,Anda Ribera,13
Ingrid Barranco,Irene Nant,4
Ingrid Barranco,Albina Hafon,4
Ingrid Barranco,Isia Vann,4
Ingrid Barranco,Cornelia Lais,4
Ingrid Barranco,Rachel Pantanal,4
Ingrid Barranco,Lars Azada,4
Ingrid Barranco,Mat Bramar,4
Ingrid Barranco,Orhan Strum,17
Ingrid Barranco,Varro Awelon,4
Ingrid Barranco,Emile Arpa,4
Ingrid Barranco,Sven Flecha,4
Ingrid Barranco,Felix Resumir,4
Ingrid Barranco,Ruscella Mies,4
Ingrid Barranco,Birgitta Frente,4
Ingrid Barranco,Sten Sanjorge Jr,4
Ingrid Barranco,Dante Coginian,4
Ingrid Barranco,Axel Calzas,4
Ingrid Barranco,Lidelse Dedos,4
Ingrid Barranco,Gustav Cazar,4
Ingrid Barranco,Adan Morlun,4
Ingrid Barranco,Claudio Hawelon,4
Ingrid Barranco,Isak Baza,4
Ingrid Barranco,Elsa Orilla,4
Ingrid Barranco,Brand Tempestad,4
Ingrid Barranco,Stenig Fusil,4
Ingrid Barranco,Edvard Vann,4
Ingrid Barranco,Varja Lagos,4
Ingrid Barranco,Minke Mies,4
Ingrid Barranco,Carla Forluniau,4
Ingrid Barranco,Felix Balas,4
Ingrid Barranco,Isande Borrasca,4
Ingrid Barranco,Valeria Morlun,4
Ingrid Barranco,Benito Hawelon,4
Ingrid Barranco,Hideki Cocinaro,4
Ingrid Barranco,Marin Onda,4
Ingrid Barranco,Linnea Bergen,4
Ingrid Barranco,Cecilia Morluniau,4
Ingrid Barranco,Adra Nubarron,4
Ingrid Barranco,Lucas Alcazar,4
Ingrid Barranco,Vira Frente,4
Ingrid Barranco,Kare Orilla,4
Ingrid Barranco,Hennie Osvaldo,4
Ingrid Barranco,Kanon Herrero,4
Ingrid Barranco,Nils Calixto,4
Ingrid Barranco,Bertrand Ovan,4
Ingrid Barranco,Ada Campo-Corrente,17
Ingrid Barranco,Loreto Bodrogi,4
Ingrid Barranco,Dylan Scozzese,4
Ingrid Barranco,Willem Vasco-Pais,4
Ingrid Barranco,Linda Lagos,4
Ingrid Barranco,Henk Mies,4
Ingrid Barranco,Anda Ribera,4
Ingrid Barranco,Inga Ferro,4
Albina Hafon,Valeria Morlun,1
Albina Hafon,Adan Morlun,1
Albina Hafon,Dylan Scozzese,1
Albina Hafon,Henk Mies,5
Rachel Pantanal,Cornelia Lais,5
Rachel Pantanal,Carla Forluniau,5
Rachel Pantanal,Mat Bramar,5
Rachel Pantanal,Ruscella Mies,5
Rachel Pantanal,Linda Lagos,5
Rachel Pantanal,Anda Ribera,5
Lars Azada,Vira Frente,9
Lars Azada,Lidelse Dedos,1
Lars Azada,Kare Orilla,8
Lars Azada,Isande Borrasca,8
Lars Azada,Marin Onda,8
Lars Azada,Elsa Orilla,9
Lars Azada,Brand Tempestad,8
Lars Azada,Axel Calzas,9
Mat Bramar,Irene Nant,5
Mat Bramar,Albina Hafon,5
Mat Bramar,Isia Vann,5
Mat Bramar,Ingrid Barranco,5
Mat Bramar,Cornelia Lais,13
Mat Bramar,Rachel Pantanal,13
Mat Bramar,Lars Azada,5
Mat Bramar,Orhan Strum,5
Mat Bramar,Varro Awelon,5
Mat Bramar,Emile Arpa,5
Mat Bramar,Sven Flecha,5
Mat Bramar,Felix Resumir,5
Mat Bramar,Ruscella Mies,13
Mat Bramar,Birgitta Frente,5
Mat Bramar,Sten Sanjorge Jr,5
Mat Bramar,Dante Coginian,9
Mat Bramar,Axel Calzas,5
Mat Bramar,Lidelse Dedos,5
Mat Bramar,Gustav Cazar,5
Mat Bramar,Adan Morlun,5
Mat Bramar,Claudio Hawelon,5
Mat Bramar,Isak Baza,5
Mat Bramar,Elsa Orilla,5
Mat Bramar,Brand Tempestad,5
Mat Bramar,Stenig Fusil,5
Mat Bramar,Edvard Vann,5
Mat Bramar,Varja Lagos,5
Mat Bramar,Minke Mies,5
Mat Bramar,Carla Forluniau,13
Mat Bramar,Felix Balas,5
Mat Bramar,Isande Borrasca,5
