source,target,weight
Lars Azada,Vira Frente,9
Lars Azada,Lidelse Dedos,1
Lars Azada,Kare Orilla,8
Lars Azada,Isande Borrasca,8
Lars Azada,Marin Onda,8
Lars Azada,Elsa Orilla,9
Lars Azada,Brand Tempestad,8
Lars Azada,Axel Calzas,9
Birgitta Frente,Vira Frente,5
Birgitta Frente,Kare Orilla,5
Birgitta Frente,Gustav Cazar,5
Birgitta Frente,Lars Azada,5
Birgitta Frente,Isande Borrasca,5
Birgitta Frente,Marin Onda,5
Birgitta Frente,Elsa Orilla,5
Birgitta Frente,Brand Tempestad,5
Birgitta Frente,Axel Calzas,5
Lidelse Dedos,Vira Frente,8
Lidelse Dedos,Kare Orilla,4
Lidelse Dedos,Gustav Cazar,4
Lidelse Dedos,Lars Azada,4
Lidelse Dedos,Isande Borrasca,4
Lidelse Dedos,Felix Balas,4
Lidelse Dedos,Marin Onda,4
Lidelse Dedos,Elsa Orilla,9
Lidelse Dedos,Birgitta Frente,4
Lidelse Dedos,Axel Calzas,8
Gustav Cazar,Lars Azada,1
Gustav Cazar,Birgitta Frente,1
Gustav Cazar,Axel Calzas,1
Gustav Cazar,Lidelse Dedos,1
Gustav Cazar,Elsa Orilla,1
Gustav Cazar,Brand Tempestad,1
Gustav Cazar,Felix Balas,1
Gustav Cazar,Isande Borrasca,1
Gustav Cazar,Marin Onda,1
Gustav Cazar,Adra Nubarron,1
Gustav Cazar,Vira Frente,1
Gustav Cazar,Kare Orilla,1
Elsa Orilla,Lars Azada,4
Elsa Orilla,Birgitta Frente,4
Elsa Orilla,Axel Calzas,4
Elsa Orilla,Lidelse Dedos,5
Elsa Orilla,Gustav Cazar,4
Elsa Orilla,Brand Tempestad,4
Elsa Orilla,Felix Balas,4
Elsa Orilla,Isande Borrasca,4
Elsa Orilla,Marin Onda,4
Elsa Orilla,Adra Nubarron,4
Elsa Orilla,Vira Frente,4
Elsa Orilla,Kare Orilla,4
Brand Tempestad,Vira Frente,1
Brand Tempestad,Kare Orilla,1
Brand Tempestad,Lars Azada,1
Brand Tempestad,Isande Borrasca,1
Brand Tempestad,Marin Onda,1
Brand Tempestad,Elsa Orilla,1
Brand Tempestad,Axel Calzas,1
Isande Borrasca,Vira Frente,13
Isande Borrasca,Kare Orilla,13
Isande Borrasca,Gustav Cazar,8
Isande Borrasca,Lars Azada,13
Isande Borrasca,Felix Balas,4
Isande Borrasca,Marin Onda,13
Isande Borrasca,Elsa Orilla,9
Isande Borrasca,Brand Tempestad,9
Isande Borrasca,Birgitta Frente,8
Isande Borrasca,Axel Calzas,13
Vira Frente,Lidelse Dedos,5
Vira Frente,Kare Orilla,8
Vira Frente,Gustav Cazar,4
Vira Frente,Lars Azada,8
Vira Frente,Isande Borrasca,8
Vira Frente,Marin Onda,8
Vira Frente,Elsa Orilla,13
Vira Frente,Birgitta Frente,4
Vira Frente,Brand Tempestad,8
Vira Frente,Axel Calzas,13
Kare Orilla,Vira Frente,1
Kare Orilla,Lars Azada,1
Kare Orilla,Isande Borrasca,1
Kare Orilla,Marin Onda,1
Kare Orilla,Elsa Orilla,1
Kare Orilla,Brand Tempestad,1
Kare Orilla,Axel Calzas,1
