source,target,weight
Sven Flecha,Isak Baza,4
Sven Flecha,Lucas Alcazar,4
Isak Baza,Sven Flecha,10
Isak Baza,Nils Calixto,9
Isak Baza,Lucas Alcazar,13
Lucas Alcazar,Irene Nant,3
Lucas Alcazar,Albina Hafon,3
Lucas Alcazar,Isia Vann,3
Lucas Alcazar,Ingrid Barranco,3
Lucas Alcazar,Cornelia Lais,3
Lucas Alcazar,Rachel Pantanal,3
Lucas Alcazar,Lars Azada,3
Lucas Alcazar,Mat Bramar,3
Lucas Alcazar,Orhan Strum,3
Lucas Alcazar,Varro Awelon,3
Lucas Alcazar,Emile Arpa,3
Lucas Alcazar,Sven Flecha,25
Lucas Alcazar,Felix Resumir,3
Lucas Alcazar,Ruscella Mies,3
Lucas Alcazar,Birgitta Frente,3
Lucas Alcazar,Sten Sanjorge Jr,3
Lucas Alcazar,Dante Coginian,3
Lucas Alcazar,Axel Calzas,3
Lucas Alcazar,Lidelse Dedos,3
Lucas Alcazar,Gustav Cazar,3
Lucas Alcazar,Isak Baza,37
Lucas Alcazar,Claudio Hawelon,3
Lucas Alcazar,Adan Morlun,3
Lucas Alcazar,Elsa Orilla,3
Lucas Alcazar,Brand Tempestad,3
Lucas Alcazar,Stenig Fusil,3
Lucas Alcazar,Edvard Vann,3
Lucas Alcazar,Varja Lagos,3
Lucas Alcazar,Minke Mies,3
Lucas Alcazar,Carla Forluniau,3
Lucas Alcazar,Felix Balas,3
Lucas Alcazar,Isande Borrasca,3
Lucas Alcazar,Valeria Morlun,3
Lucas Alcazar,Benito Hawelon,3
Lucas Alcazar,Hideki Cocinaro,3
Lucas Alcazar,Marin Onda,3
Lucas Alcazar,Linnea Bergen,3
Lucas Alcazar,Cecilia Morluniau,3
Lucas Alcazar,Adra Nubarron,3
Lucas Alcazar,Vira Frente,3
Lucas Alcazar,Kare Orilla,3
Lucas Alcazar,Hennie Osvaldo,3
Lucas Alcazar,Kanon Herrero,3
Lucas Alcazar,Nils Calixto,9
Lucas Alcazar,Bertrand Ovan,3
Lucas Alcazar,Ada Campo-Corrente,3
Lucas Alcazar,Loreto Bodrogi,3
Lucas Alcazar,Dylan Scozzese,3
Lucas Alcazar,Willem Vasco-Pais,3
Lucas Alcazar,Linda Lagos,3
Lucas Alcazar,Henk Mies,3
Lucas Alcazar,Anda Ribera,3
Lucas Alcazar,Inga Ferro,3
Nils Calixto,Sven Flecha,7
Nils Calixto,Isak Baza,13
Nils Calixto,Lucas Alcazar,10
