source,target,weight
Cornelia Lais,Rachel Pantanal,4
Cornelia Lais,Carla Forluniau,4
Cornelia Lais,Mat Bramar,4
Cornelia Lais,Linda Lagos,4
Cornelia Lais,Anda Ribera,4
Rachel Pantanal,Cornelia Lais,3
Rachel Pantanal,Carla Forluniau,3
Rachel Pantanal,Mat Bramar,3
Rachel Pantanal,Linda Lagos,3
Rachel Pantanal,Anda Ribera,3
Lars Azada,Cornelia Lais,3
Lars Azada,Rachel Pantanal,3
Lars Azada,Mat Bramar,3
Lars Azada,Carla Forluniau,3
Lars Azada,Linda Lagos,3
Lars Azada,Anda Ribera,3
Mat Bramar,Cornelia Lais,1
Mat Bramar,Rachel Pantanal,1
Mat Bramar,Carla Forluniau,1
Mat Bramar,Linda Lagos,1
Mat Bramar,Anda Ribera,1
Ruscella Mies,Cornelia Lais,4
Ruscella Mies,Rachel Pantanal,4
Ruscella Mies,Mat Bramar,4
Ruscella Mies,Carla Forluniau,4
Ruscella Mies,Linda Lagos,4
Ruscella Mies,Anda Ribera,4
Axel Calzas,Cornelia Lais,3
Axel Calzas,Rachel Pantanal,3
Axel Calzas,Mat Bramar,3
Axel Calzas,Carla Forluniau,3
Axel Calzas,Linda Lagos,3
Axel Calzas,Anda Ribera,3
Isak Baza,Cornelia Lais,3
Isak Baza,Rachel Pantanal,3
Isak Baza,Mat Bramar,3
Isak Baza,Carla Forluniau,3
Isak Baza,Linda Lagos,3
Isak Baza,Anda Ribera,3
Elsa Orilla,Cornelia Lais,3
Elsa Orilla,Rachel Pantanal,3
Elsa Orilla,Mat Bramar,3
Elsa Orilla,Carla Forluniau,3
Elsa Orilla,Linda Lagos,3
Elsa Orilla,Anda Ribera,3
Hennie Osvaldo,Rachel Pantanal,4
Kanon Herrero,Cornelia Lais,1
Kanon Herrero,Rachel Pantanal,1
Kanon Herrero,Mat Bramar,1
Kanon Herrero,Carla Forluniau,1
Kanon Herrero,Linda Lagos,1
Kanon Herrero,Anda Ribera,1
