source,target,weight
Lars Azada,Sven Flecha,1
Lars Azada,Isak Baza,1
Lars Azada,Linnea Bergen,1
Lars Azada,Lucas Alcazar,1
Lars Azada,Nils Calixto,1
Mat Bramar,Sven Flecha,4
Mat Bramar,Isak Baza,4
Mat Bramar,Linnea Bergen,4
Mat Bramar,Lucas Alcazar,4
Mat Bramar,Nils Calixto,4
Emile Arpa,Lucas Alcazar,4
Felix Resumir,Sven Flecha,1
Felix Resumir,Isak Baza,1
Felix Resumir,Linnea Bergen,1
Felix Resumir,Lucas Alcazar,1
Felix Resumir,Nils Calixto,1
Sven Flecha,Isak Baza,21
Sven Flecha,Nils Calixto,13
Ruscella Mies,Sven Flecha,1
Ruscella Mies,Isak Baza,1
Ruscella Mies,Linnea Bergen,1
Ruscella Mies,Lucas Alcazar,1
Ruscella Mies,Nils Calixto,1
Isak Baza,Sven Flecha,19
Isak Baza,Linnea Bergen,3
Isak Baza,Lucas Alcazar,4
Isak Baza,Nils Calixto,13
Edvard Vann,Sven Flecha,1
Edvard Vann,Isak Baza,1
Edvard Vann,Linnea Bergen,1
Edvard Vann,Lucas Alcazar,1
Edvard Vann,Nils Calixto,1
Benito Hawelon,Sven Flecha,3
Benito Hawelon,Isak Baza,3
Benito Hawelon,Linnea Bergen,3
Benito Hawelon,Lucas Alcazar,3
Benito Hawelon,Nils Calixto,3
Hideki Cocinaro,Sven Flecha,3
Hideki Cocinaro,Isak Baza,3
Hideki Cocinaro,Linnea Bergen,3
Hideki Cocinaro,Lucas Alcazar,3
Hideki Cocinaro,Nils Calixto,3
Adra Nubarron,Sven Flecha,1
Adra Nubarron,Isak Baza,1
Adra Nubarron,Linnea Bergen,1
Adra Nubarron,Lucas Alcazar,1
Adra Nubarron,Nils Calixto,1
Lucas Alcazar,Sven Flecha,6
Lucas Alcazar,Nils Calixto,6
Nils Calixto,Sven Flecha,9
Nils Calixto,Isak Baza,3
