source,target,weight
Cornelia Lais,Ingrid Barranco,1
Cornelia Lais,Orhan Strum,1
Cornelia Lais,Sten Sanjorge Jr,1
Cornelia Lais,Ada Campo-Corrente,1
Cornelia Lais,Willem Vasco-Pais,1
Ingrid Barranco,Ada Campo-Corrente,3
Ingrid Barranco,Sten Sanjorge Jr (tethys),3
Ingrid Barranco,Willem Vasco-Pais,3
Ingrid Barranco,Sten Sanjorge Jr,3
Mat Bramar,Ingrid Barranco,4
Mat Bramar,Orhan Strum,4
Mat Bramar,Sten Sanjorge Jr,4
Mat Bramar,Ada Campo-Corrente,4
Mat Bramar,Willem Vasco-Pais,4
Orhan Strum,Ingrid Barranco,1
Orhan Strum,Ada Campo-Corrente,1
Orhan Strum,Sten Sanjorge Jr (tethys),1
Orhan Strum,Willem Vasco-Pais,1
Orhan Strum,Sten Sanjorge Jr,1
Emile Arpa,Ingrid Barranco,1
Emile Arpa,Orhan Strum,1
Emile Arpa,Sten Sanjorge Jr,1
Emile Arpa,Ada Campo-Corrente,1
Emile Arpa,Willem Vasco-Pais,1
Ruscella Mies,Ingrid Barranco,3
Ruscella Mies,Orhan Strum,3
Ruscella Mies,Sten Sanjorge Jr,3
Ruscella Mies,Ada Campo-Corrente,3
Ruscella Mies,Willem Vasco-Pais,3
Marin Onda,Ingrid Barranco,3
Marin Onda,Orhan Strum,3
Marin Onda,Sten Sanjorge Jr,3
Marin Onda,Ada Campo-Corrente,3
Marin Onda,Willem Vasco-Pais,3
Adra Nubarron,Ingrid Barranco,3
Adra Nubarron,Orhan Strum,3
Adra Nubarron,Sten Sanjorge Jr,3
Adra Nubarron,Ada Campo-Corrente,3
Adra Nubarron,Willem Vasco-Pais,3
Kare Orilla,Ingrid Barranco,1
Hennie Osvaldo,Ingrid Barranco,3
Hennie Osvaldo,Orhan Strum,3
Hennie Osvaldo,Sten Sanjorge Jr,3
Hennie Osvaldo,Ada Campo-Corrente,3
Hennie Osvaldo,Willem Vasco-Pais,3
Ada Campo-Corrente,Ingrid Barranco,4
Ada Campo-Corrente,Sten Sanjorge Jr (tethys),4
Ada Campo-Corrente,Willem Vasco-Pais,4
Ada Campo-Corrente,Sten Sanjorge Jr,4
Willem Vasco-Pais,Orhan Strum,1
Willem Vasco-Pais,Ada Campo-Corrente,1
Willem Vasco-Pais,Sten Sanjorge Jr (tethys),1
Willem Vasco-Pais,Sten Sanjorge Jr,1
Sten Sanjorge Jr (tethys),Ingrid Barranco,1
Sten Sanjorge Jr (tethys),Orhan Strum,6
Sten Sanjorge Jr (tethys),Ada Campo-Corrente,7
Sten Sanjorge Jr (tethys),Willem Vasco-Pais,7
Sten Sanjorge Jr (tethys),Sten Sanjorge Jr,7
