source,target,weight
Isia Vann,Claudio Hawelon,1
Cornelia Lais,Irene Nant,1
Cornelia Lais,Albina Hafon,1
Cornelia Lais,Varro Awelon,1
Cornelia Lais,Emile Arpa,1
Cornelia Lais,Dante Coginian,1
Cornelia Lais,Adan Morlun,1
Cornelia Lais,Claudio Hawelon,1
Cornelia Lais,Valeria Morlun,1
Cornelia Lais,Benito Hawelon,1
Cornelia Lais,Cecilia Morluniau,1
Cornelia Lais,Bertrand Ovan,1
Cornelia Lais,Dylan Scozzese,1
Cornelia Lais,Henk Mies,1
Mat Bramar,Irene Nant,4
Mat Bramar,Albina Hafon,4
Mat Bramar,Varro Awelon,4
Mat Bramar,Emile Arpa,4
Mat Bramar,Dante Coginian,4
Mat Bramar,Adan Morlun,4
Mat Bramar,Claudio Hawelon,4
Mat Bramar,Valeria Morlun,4
Mat Bramar,Benito Hawelon,4
Mat Bramar,Cecilia Morluniau,4
Mat Bramar,Bertrand Ovan,4
Mat Bramar,Dylan Scozzese,4
Mat Bramar,Henk Mies,4
Varro Awelon,Albina Hafon,1
Varro Awelon,Valeria Morlun,4
Varro Awelon,Benito Hawelon,1
Varro Awelon,Adan Morlun,1
Varro Awelon,Claudio Hawelon,1
Varro Awelon,Emile Arpa,1
Varro Awelon,Dylan Scozzese,3
Varro Awelon,Henk Mies,1
Varro Awelon,Cecilia Morluniau,1
Emile Arpa,Irene Nant,1
Emile Arpa,Albina Hafon,1
Emile Arpa,Varro Awelon,1
Emile Arpa,Dante Coginian,1
Emile Arpa,Adan Morlun,4
Emile Arpa,Claudio Hawelon,4
Emile Arpa,Valeria Morlun,4
Emile Arpa,Benito Hawelon,1
Emile Arpa,Cecilia Morluniau,1
Emile Arpa,Bertrand Ovan,1
Emile Arpa,Dylan Scozzese,1
Emile Arpa,Henk Mies,1
Ruscella Mies,Irene Nant,3
Ruscella Mies,Albina Hafon,3
Ruscella Mies,Varro Awelon,3
Ruscella Mies,Emile Arpa,3
Ruscella Mies,Dante Coginian,3
Ruscella Mies,Adan Morlun,3
Ruscella Mies,Claudio Hawelon,3
Ruscella Mies,Valeria Morlun,3
Ruscella Mies,Benito Hawelon,3
Ruscella Mies,Cecilia Morluniau,3
Ruscella Mies,Bertrand Ovan,3
Ruscella Mies,Dylan Scozzese,3
Ruscella Mies,Henk Mies,3
Claudio Hawelon,Irene Nant,4
Claudio Hawelon,Albina Hafon,4
Claudio Hawelon,Valeria Morlun,4
Claudio Hawelon,Dylan Scozzese,4
Claudio Hawelon,Henk Mies,4
Claudio Hawelon,Cecilia Morluniau,4
Adan Morlun,Claudio Hawelon,1
Adan Morlun,Valeria Morlun,1
Adan Morlun,Emile Arpa,1
Valeria Morlun,Irene Nant,4
Valeria Morlun,Albina Hafon,4
Valeria Morlun,Benito Hawelon,3
Valeria Morlun,Adan Morlun,6
Valeria Morlun,Claudio Hawelon,10
Valeria Morlun,Emile Arpa,6
Valeria Morlun,Dylan Scozzese,1
Valeria Morlun,Henk Mies,4
Valeria Morlun,Cecilia Morluniau,4
Valeria Morlun,Dante Coginian,3
Benito Hawelon,Irene Nant,4
Benito Hawelon,Albina Hafon,3
Benito Hawelon,Valeria Morlun,4
Benito Hawelon,Adan Morlun,1
Benito Hawelon,Emile Arpa,1
Benito Hawelon,Claudio Hawelon,3
Benito Hawelon,Dylan Scozzese,1
Benito Hawelon,Henk Mies,4
Benito Hawelon,Cecilia Morluniau,4
