source,target,weight
Birgitta Frente,Kare Orilla,1
Birgitta Frente,Isande Borrasca,1
Birgitta Frente,Isak Baza,9
Birgitta Frente,Marin Onda,1
Birgitta Frente,Elsa Orilla,1
Birgitta Frente,Brand Tempestad,1
Birgitta Frente,Axel Calzas,1
Axel Calzas,Irene Nant,3
Axel Calzas,Albina Hafon,3
Axel Calzas,Isia Vann,3
Axel Calzas,Ingrid Barranco,3
Axel Calzas,Cornelia Lais,3
Axel Calzas,Rachel Pantanal,3
Axel Calzas,Lars Azada,3
Axel Calzas,Mat Bramar,3
Axel Calzas,Orhan Strum,3
Axel Calzas,Varro Awelon,3
Axel Calzas,Emile Arpa,3
Axel Calzas,Sven Flecha,3
Axel Calzas,Felix Resumir,3
Axel Calzas,Ruscella Mies,3
Axel Calzas,Birgitta Frente,3
Axel Calzas,Sten Sanjorge Jr,3
Axel Calzas,Dante Coginian,3
Axel Calzas,Lidelse Dedos,3
Axel Calzas,Gustav Cazar,3
Axel Calzas,Adan Morlun,3
Axel Calzas,Claudio Hawelon,3
Axel Calzas,Isak Baza,3
Axel Calzas,Elsa Orilla,3
Axel Calzas,Brand Tempestad,3
Axel Calzas,Stenig Fusil,3
Axel Calzas,Edvard Vann,3
Axel Calzas,Varja Lagos,3
Axel Calzas,Minke Mies,3
Axel Calzas,Carla Forluniau,3
Axel Calzas,Felix Balas,3
Axel Calzas,Isande Borrasca,3
Axel Calzas,Valeria Morlun,3
Axel Calzas,Benito Hawelon,3
Axel Calzas,Hideki Cocinaro,3
Axel Calzas,Marin Onda,3
Axel Calzas,Linnea Bergen,3
Axel Calzas,Cecilia Morluniau,3
Axel Calzas,Adra Nubarron,3
Axel Calzas,Lucas Alcazar,3
Axel Calzas,Vira Frente,3
Axel Calzas,Kare Orilla,3
Axel Calzas,Hennie Osvaldo,3
Axel Calzas,Kanon Herrero,3
Axel Calzas,Nils Calixto,10
Axel Calzas,Bertrand Ovan,3
Axel Calzas,Ada Campo-Corrente,3
Axel Calzas,Loreto Bodrogi,3
Axel Calzas,Dylan Scozzese,3
Axel Calzas,Willem Vasco-Pais,3
Axel Calzas,Linda Lagos,3
Axel Calzas,Henk Mies,3
Axel Calzas,Anda Ribera,3
Axel Calzas,Inga Ferro,3
Gustav Cazar,Vira Frente,3
Gustav Cazar,Kare Orilla,1
Gustav Cazar,Lidelse Dedos,3
Gustav Cazar,Isande Borrasca,4
Gustav Cazar,Marin Onda,1
Gustav Cazar,Elsa Orilla,1
Gustav Cazar,Brand Tempestad,4
Gustav Cazar,Birgitta Frente,1
Gustav Cazar,Adra Nubarron,3
Gustav Cazar,Axel Calzas,4
Elsa Orilla,Kare Orilla,1
Elsa Orilla,Isande Borrasca,1
Elsa Orilla,Marin Onda,1
Elsa Orilla,Brand Tempestad,1
Elsa Orilla,Birgitta Frente,1
Elsa Orilla,Axel Calzas,1
Brand Tempestad,Vira Frente,4
Brand Tempestad,Lidelse Dedos,4
Brand Tempestad,Isande Borrasca,4
Brand Tempestad,Adra Nubarron,4
Brand Tempestad,Axel Calzas,4
Isande Borrasca,Irene Nant,3
Isande Borrasca,Albina Hafon,3
Isande Borrasca,Isia Vann,3
Isande Borrasca,Ingrid Barranco,3
Isande Borrasca,Cornelia Lais,3
Isande Borrasca,Rachel Pantanal,3
