source,target,weight
Ingrid Barranco,Isia Vann,5
Ingrid Barranco,Felix Resumir,5
Ingrid Barranco,Stenig Fusil,5
Ingrid Barranco,Edvard Vann,5
Ingrid Barranco,Varja Lagos,5
Ingrid Barranco,Minke Mies,5
Ingrid Barranco,Hideki Cocinaro,5
Ingrid Barranco,Hennie Osvaldo,5
Ingrid Barranco,Kanon Herrero,5
Ingrid Barranco,Loreto Bodrogi,5
Ingrid Barranco,Inga Ferro,5
Mat Bramar,Isia Vann,9
Mat Bramar,Felix Resumir,9
Mat Bramar,Stenig Fusil,9
Mat Bramar,Edvard Vann,9
Mat Bramar,Varja Lagos,9
Mat Bramar,Minke Mies,9
Mat Bramar,Hideki Cocinaro,9
Mat Bramar,Hennie Osvaldo,9
Mat Bramar,Kanon Herrero,9
Mat Bramar,Loreto Bodrogi,9
Mat Bramar,Inga Ferro,9
Varro Awelon,Isia Vann,1
Varro Awelon,Felix Resumir,1
Varro Awelon,Stenig Fusil,1
Varro Awelon,Edvard Vann,1
Varro Awelon,Varja Lagos,1
Varro Awelon,Minke Mies,1
Varro Awelon,Hideki Cocinaro,1
Varro Awelon,Hennie Osvaldo,1
Varro Awelon,Kanon Herrero,1
Varro Awelon,Loreto Bodrogi,1
Varro Awelon,Inga Ferro,1
Ruscella Mies,Isia Vann,1
Ruscella Mies,Felix Resumir,1
Ruscella Mies,Stenig Fusil,1
Ruscella Mies,Edvard Vann,1
Ruscella Mies,Varja Lagos,1
Ruscella Mies,Minke Mies,1
Ruscella Mies,Hideki Cocinaro,1
Ruscella Mies,Hennie Osvaldo,1
Ruscella Mies,Kanon Herrero,1
Ruscella Mies,Loreto Bodrogi,1
Ruscella Mies,Inga Ferro,1
Axel Calzas,Isia Vann,4
Axel Calzas,Felix Resumir,4
Axel Calzas,Stenig Fusil,4
Axel Calzas,Edvard Vann,4
Axel Calzas,Varja Lagos,4
Axel Calzas,Minke Mies,4
Axel Calzas,Hideki Cocinaro,4
Axel Calzas,Hennie Osvaldo,4
Axel Calzas,Kanon Herrero,4
Axel Calzas,Loreto Bodrogi,4
Axel Calzas,Inga Ferro,4
Claudio Hawelon,Isia Vann,4
Claudio Hawelon,Felix Resumir,4
Claudio Hawelon,Stenig Fusil,4
Claudio Hawelon,Edvard Vann,4
Claudio Hawelon,Varja Lagos,4
Claudio Hawelon,Minke Mies,4
Claudio Hawelon,Hideki Cocinaro,4
Claudio Hawelon,Hennie Osvaldo,4
Claudio Hawelon,Kanon Herrero,4
Claudio Hawelon,Loreto Bodrogi,4
Claudio Hawelon,Inga Ferro,4
Minke Mies,Isia Vann,1
Minke Mies,Felix Resumir,1
Minke Mies,Stenig Fusil,1
Minke Mies,Edvard Vann,1
Minke Mies,Varja Lagos,1
Minke Mies,Hideki Cocinaro,1
Minke Mies,Hennie Osvaldo,1
Minke Mies,Kanon Herrero,1
Minke Mies,Loreto Bodrogi,1
Minke Mies,Inga Ferro,1
Isande Borrasca,Isia Vann,4
Isande Borrasca,Felix Resumir,4
Isande Borrasca,Stenig Fusil,4
Isande Borrasca,Edvard Vann,4
Isande Borrasca,Varja Lagos,4
Isande Borrasca,Minke Mies,4
Isande Borrasca,Hideki Cocinaro,5
Isande Borrasca,Hennie Osvaldo,4
Isande Borrasca,Kanon Herrero,4
Isande Borrasca,Loreto Bodrogi,4
Isande Borrasca,Inga Ferro,4
Valeria Morlun,Stenig Fusil,1
Loreto Bodrogi,Isia Vann,1
Loreto Bodrogi,Stenig Fusil,1
Loreto Bodrogi,Edvard Vann,1
Anda Ribera,Isia Vann,4
Anda Ribera,Felix Resumir,4
Anda Ribera,Stenig Fusil,4
Anda Ribera,Edvard Vann,4
Anda Ribera,Varja Lagos,4
Anda Ribera,Minke Mies,4
Anda Ribera,Hideki Cocinaro,4
Anda Ribera,Hennie Osvaldo,4
Anda Ribera,Kanon Herrero,4
Anda Ribera,Loreto Bodrogi,4
Anda Ribera,Inga Ferro,4
Inga Ferro,Isia Vann,5
Inga Ferro,Felix Resumir,5
Inga Ferro,Stenig Fusil,5
Inga Ferro,Edvard Vann,5
Inga Ferro,Varja Lagos,5
Inga Ferro,Minke Mies,5
Inga Ferro,Hideki Cocinaro,5
Inga Ferro,Hennie Osvaldo,5
Inga Ferro,Kanon Herrero,5
Inga Ferro,Loreto Bodrogi,5
