source,target,weight
Isia Vann,Hennie Osvaldo,5
Edvard Vann,Isia Vann,5
Edvard Vann,Hennie Osvaldo,5
Edvard Vann,Kanon Herrero,4
Edvard Vann,Hideki Cocinaro,4
Edvard Vann,Loreto Bodrogi,4
Edvard Vann,Felix Resumir,4
Edvard Vann,Minke Mies,4
Edvard Vann,Varja Lagos,4
Edvard Vann,Inga Ferro,4
Varja Lagos,Isia Vann,1
Varja Lagos,Hennie Osvaldo,1
Varja Lagos,Kanon Herrero,1
Varja Lagos,Loreto Bodrogi,1
Varja Lagos,Felix Resumir,1
Varja Lagos,Minke Mies,1
Varja Lagos,Edvard Vann,1
Varja Lagos,Inga Ferro,1
Hennie Osvaldo,Isia Vann,5
Kanon Herrero,Isia Vann,1
Kanon Herrero,Hennie Osvaldo,1
Kanon Herrero,Loreto Bodrogi,1
Kanon Herrero,Felix Resumir,1
Kanon Herrero,Minke Mies,1
Kanon Herrero,Edvard Vann,1
Kanon Herrero,Varja Lagos,1
Kanon Herrero,Inga Ferro,1
Inga Ferro,Isia Vann,1
Inga Ferro,Hennie Osvaldo,1
Inga Ferro,Kanon Herrero,1
Inga Ferro,Loreto Bodrogi,1
Inga Ferro,Felix Resumir,1
Inga Ferro,Minke Mies,1
Inga Ferro,Edvard Vann,1
Inga Ferro,Varja Lagos,1
