source,target,weight
Ingrid Barranco,Irene Nant,3
Ingrid Barranco,Albina Hafon,3
Ingrid Barranco,Isia Vann,3
Ingrid Barranco,Cornelia Lais,3
Ingrid Barranco,Rachel Pantanal,3
Ingrid Barranco,Lars Azada,3
Ingrid Barranco,Mat Bramar,3
Ingrid Barranco,Orhan Strum,3
Ingrid Barranco,Varro Awelon,3
Ingrid Barranco,Emile Arpa,3
Ingrid Barranco,Sven Flecha,3
Ingrid Barranco,Felix Resumir,3
Ingrid Barranco,Ruscella Mies,3
Ingrid Barranco,Birgitta Frente,3
Ingrid Barranco,Sten Sanjorge Jr,4
Ingrid Barranco,Dante Coginian,3
Ingrid Barranco,Axel Calzas,3
Ingrid Barranco,Lidelse Dedos,3
Ingrid Barranco,Gustav Cazar,3
Ingrid Barranco,Adan Morlun,3
Ingrid Barranco,Claudio Hawelon,3
Ingrid Barranco,Isak Baza,3
Ingrid Barranco,Elsa Orilla,3
Ingrid Barranco,Brand Tempestad,3
Ingrid Barranco,Stenig Fusil,3
Ingrid Barranco,Edvard Vann,3
Ingrid Barranco,Varja Lagos,3
Ingrid Barranco,Minke Mies,3
Ingrid Barranco,Carla Forluniau,3
Ingrid Barranco,Felix Balas,3
Ingrid Barranco,Isande Borrasca,3
Ingrid Barranco,Valeria Morlun,3
Ingrid Barranco,Benito Hawelon,3
Ingrid Barranco,Hideki Cocinaro,3
Ingrid Barranco,Marin Onda,3
Ingrid Barranco,Linnea Bergen,3
Ingrid Barranco,Cecilia Morluniau,3
Ingrid Barranco,Adra Nubarron,3
Ingrid Barranco,Lucas Alcazar,3
Ingrid Barranco,Vira Frente,3
Ingrid Barranco,Kare Orilla,3
Ingrid Barranco,Hennie Osvaldo,3
Ingrid Barranco,Kanon Herrero,3
Ingrid Barranco,Nils Calixto,3
Ingrid Barranco,Bertrand Ovan,3
Ingrid Barranco,Ada Campo-Corrente,4
Ingrid Barranco,Loreto Bodrogi,3
Ingrid Barranco,Dylan Scozzese,3
Ingrid Barranco,Sten Sanjorge Jr (tethys),1
Ingrid Barranco,Willem Vasco-Pais,3
Ingrid Barranco,Linda Lagos,3
Ingrid Barranco,Henk Mies,3
Ingrid Barranco,Anda Ribera,3
Ingrid Barranco,Inga Ferro,3
Orhan Strum,Willem Vasco-Pais,4
Sten Sanjorge Jr,Henk Mies,4
Ada Campo-Corrente,Sten Sanjorge Jr,10
Ada Campo-Corrente,Ingrid Barranco,1
Ada Campo-Corrente,Sten Sanjorge Jr (tethys),10
Willem Vasco-Pais,Ingrid Barranco,1
Willem Vasco-Pais,Orhan Strum,3
Willem Vasco-Pais,Ada Campo-Corrente,1
Willem Vasco-Pais,Sten Sanjorge Jr (tethys),1
Willem Vasco-Pais,Sten Sanjorge Jr,1
Sten Sanjorge Jr (tethys),Ada Campo-Corrente,13
Sten Sanjorge Jr (tethys),Sten Sanjorge Jr,13
Sten Sanjorge Jr (tethys),Ingrid Barranco,6
