source,target,weight
Mat Bramar,Sven Flecha,6
Mat Bramar,Isak Baza,6
Mat Bramar,Linnea Bergen,6
Mat Bramar,Lucas Alcazar,6
Mat Bramar,Nils Calixto,6
Sven Flecha,Lucas Alcazar,1
Sven Flecha,Nils Calixto,5
Sven Flecha,Isak Baza,1
Ruscella Mies,Sven Flecha,5
Ruscella Mies,Isak Baza,5
Ruscella Mies,Linnea Bergen,5
Ruscella Mies,Lucas Alcazar,5
Ruscella Mies,Nils Calixto,5
Dante Coginian,Lucas Alcazar,6
Isak Baza,Lucas Alcazar,6
Linnea Bergen,Sven Flecha,6
Linnea Bergen,Isak Baza,6
Linnea Bergen,Lucas Alcazar,6
Linnea Bergen,Nils Calixto,6
Lucas Alcazar,Nils Calixto,5
Lucas Alcazar,Isak Baza,11
Lucas Alcazar,Sven Flecha,5
Kanon Herrero,Nils Calixto,15
Nils Calixto,Sven Flecha,11
