source,target,weight
Ingrid Barranco,Ada Campo-Corrente,5
Orhan Strum,Ada Campo-Corrente,5
Orhan Strum,Sten Sanjorge Jr (tethys),5
Orhan Strum,Willem Vasco-Pais,12
Orhan Strum,Sten Sanjorge Jr,5
Ada Campo-Corrente,Irene Nant,4
Ada Campo-Corrente,Albina Hafon,4
Ada Campo-Corrente,Isia Vann,4
Ada Campo-Corrente,Ingrid Barranco,12
Ada Campo-Corrente,Cornelia Lais,4
Ada Campo-Corrente,Rachel Pantanal,4
Ada Campo-Corrente,Lars Azada,4
Ada Campo-Corrente,Mat Bramar,4
Ada Campo-Corrente,Orhan Strum,13
Ada Campo-Corrente,Varro Awelon,4
Ada Campo-Corrente,Emile Arpa,4
Ada Campo-Corrente,Sven Flecha,4
Ada Campo-Corrente,Felix Resumir,4
Ada Campo-Corrente,Ruscella Mies,4
Ada Campo-Corrente,Birgitta Frente,4
Ada Campo-Corrente,Sten Sanjorge Jr,13
Ada Campo-Corrente,Dante Coginian,4
Ada Campo-Corrente,Axel Calzas,4
Ada Campo-Corrente,Lidelse Dedos,4
Ada Campo-Corrente,Gustav Cazar,4
Ada Campo-Corrente,Adan Morlun,4
Ada Campo-Corrente,Claudio Hawelon,4
Ada Campo-Corrente,Isak Baza,4
Ada Campo-Corrente,Elsa Orilla,4
Ada Campo-Corrente,Brand Tempestad,4
Ada Campo-Corrente,Stenig Fusil,4
Ada Campo-Corrente,Edvard Vann,4
Ada Campo-Corrente,Varja Lagos,4
Ada Campo-Corrente,Minke Mies,4
Ada Campo-Corrente,Carla Forluniau,4
Ada Campo-Corrente,Felix Balas,4
Ada Campo-Corrente,Isande Borrasca,4
Ada Campo-Corrente,Valeria Morlun,4
Ada Campo-Corrente,Benito Hawelon,4
Ada Campo-Corrente,Hideki Cocinaro,4
Ada Campo-Corrente,Marin Onda,4
Ada Campo-Corrente,Linnea Bergen,4
Ada Campo-Corrente,Cecilia Morluniau,4
Ada Campo-Corrente,Adra Nubarron,4
Ada Campo-Corrente,Lucas Alcazar,4
Ada Campo-Corrente,Vira Frente,4
Ada Campo-Corrente,Kare Orilla,4
Ada Campo-Corrente,Hennie Osvaldo,4
Ada Campo-Corrente,Kanon Herrero,4
Ada Campo-Corrente,Nils Calixto,4
Ada Campo-Corrente,Bertrand Ovan,4
Ada Campo-Corrente,Loreto Bodrogi,4
Ada Campo-Corrente,Dylan Scozzese,4
Ada Campo-Corrente,Sten Sanjorge Jr (tethys),9
Ada Campo-Corrente,Willem Vasco-Pais,4
Ada Campo-Corrente,Linda Lagos,4
Ada Campo-Corrente,Henk Mies,4
Ada Campo-Corrente,Anda Ribera,4
Ada Campo-Corrente,Inga Ferro,4
Sten Sanjorge Jr (tethys),Ingrid Barranco,4
Sten Sanjorge Jr (tethys),Orhan Strum,13
Sten Sanjorge Jr (tethys),Ada Campo-Corrente,13
Sten Sanjorge Jr (tethys),Willem Vasco-Pais,4
Sten Sanjorge Jr (tethys),Sten Sanjorge Jr,9
Mat Bramar,Ingrid Barranco,9
Mat Bramar,Orhan Strum,9
Mat Bramar,Sten Sanjorge Jr,9
Mat Bramar,Ada Campo-Corrente,9
Mat Bramar,Willem Vasco-Pais,9
Ruscella Mies,Ingrid Barranco,1
Ruscella Mies,Orhan Strum,1
Ruscella Mies,Sten Sanjorge Jr,1
Ruscella Mies,Ada Campo-Corrente,1
Ruscella Mies,Willem Vasco-Pais,1
Felix Resumir,Ingrid Barranco,1
Felix Resumir,Orhan Strum,1
Felix Resumir,Sten Sanjorge Jr,1
Felix Resumir,Ada Campo-Corrente,1
Felix Resumir,Willem Vasco-Pais,1
Isande Borrasca,Ingrid Barranco,1
Isande Borrasca,Orhan Strum,1
Isande Borrasca,Sten Sanjorge Jr,1
Isande Borrasca,Ada Campo-Corrente,1
Isande Borrasca,Willem Vasco-Pais,1
Hennie Osvaldo,Ingrid Barranco,1
Hennie Osvaldo,Orhan Strum,1
Hennie Osvaldo,Sten Sanjorge Jr,1
Hennie Osvaldo,Ada Campo-Corrente,1
Hennie Osvaldo,Willem Vasco-Pais,1
