source,target,weight
Ingrid Barranco,Orhan Strum,1
Ingrid Barranco,Ada Campo-Corrente,1
Ingrid Barranco,Willem Vasco-Pais,1
Ingrid Barranco,Sten Sanjorge Jr (tethys),1
Ingrid Barranco,Sten Sanjorge Jr,1
Orhan Strum,Ada Campo-Corrente,1
Orhan Strum,Willem Vasco-Pais,1
Orhan Strum,Sten Sanjorge Jr (tethys),1
Orhan Strum,Sten Sanjorge Jr,1
Ada Campo-Corrente,Orhan Strum,9
Ada Campo-Corrente,Willem Vasco-Pais,9
Ada Campo-Corrente,Sten Sanjorge Jr (tethys),9
Ada Campo-Corrente,Sten Sanjorge Jr,9
Willem Vasco-Pais,Orhan Strum,9
Willem Vasco-Pais,Ada Campo-Corrente,9
Willem Vasco-Pais,Sten Sanjorge Jr (tethys),9
Willem Vasco-Pais,Sten Sanjorge Jr,9
Sten Sanjorge Jr (tethys),Orhan Strum,5
Sten Sanjorge Jr (tethys),Ada Campo-Corrente,5
Sten Sanjorge Jr (tethys),Willem Vasco-Pais,5
Sten Sanjorge Jr (tethys),Sten Sanjorge Jr,5
