source,target,weight
Cornelia Lais,Rachel Pantanal,17
Cornelia Lais,Carla Forluniau,17
Cornelia Lais,Mat Bramar,17
Cornelia Lais,Ruscella Mies,17
Cornelia Lais,Linda Lagos,17
Cornelia Lais,Anda Ribera,17
Rachel Pantanal,Albina Hafon,4
Rachel Pantanal,Cornelia Lais,5
Rachel Pantanal,Carla Forluniau,5
Rachel Pantanal,Mat Bramar,5
Rachel Pantanal,Ruscella Mies,5
Rachel Pantanal,Linda Lagos,5
Rachel Pantanal,Anda Ribera,5
Mat Bramar,Irene Nant,5
Mat Bramar,Albina Hafon,5
Mat Bramar,Isia Vann,5
Mat Bramar,Ingrid Barranco,5
Mat Bramar,Cornelia Lais,21
Mat Bramar,Rachel Pantanal,21
Mat Bramar,Lars Azada,5
Mat Bramar,Orhan Strum,5
Mat Bramar,Varro Awelon,17
Mat Bramar,Emile Arpa,5
Mat Bramar,Sven Flecha,5
Mat Bramar,Felix Resumir,5
Mat Bramar,Ruscella Mies,21
Mat Bramar,Birgitta Frente,5
Mat Bramar,Sten Sanjorge Jr,5
Mat Bramar,Dante Coginian,5
Mat Bramar,Axel Calzas,5
Mat Bramar,Lidelse Dedos,5
Mat Bramar,Gustav Cazar,5
Mat Bramar,Adan Morlun,5
Mat Bramar,Claudio Hawelon,5
Mat Bramar,Isak Baza,5
Mat Bramar,Elsa Orilla,5
Mat Bramar,Brand Tempestad,5
Mat Bramar,Stenig Fusil,5
Mat Bramar,Edvard Vann,5
Mat Bramar,Varja Lagos,5
Mat Bramar,Minke Mies,5
Mat Bramar,Carla Forluniau,21
Mat Bramar,Felix Balas,5
Mat Bramar,Isande Borrasca,5
Mat Bramar,Valeria Morlun,5
Mat Bramar,Benito Hawelon,5
Mat Bramar,Hideki Cocinaro,5
Mat Bramar,Marin Onda,5
Mat Bramar,Linnea Bergen,5
Mat Bramar,Cecilia Morluniau,5
Mat Bramar,Adra Nubarron,5
Mat Bramar,Lucas Alcazar,5
Mat Bramar,Vira Frente,5
Mat Bramar,Kare Orilla,5
Mat Bramar,Hennie Osvaldo,5
Mat Bramar,Kanon Herrero,5
Mat Bramar,Nils Calixto,5
Mat Bramar,Bertrand Ovan,5
Mat Bramar,Ada Campo-Corrente,5
Mat Bramar,Loreto Bodrogi,5
Mat Bramar,Dylan Scozzese,5
Mat Bramar,Willem Vasco-Pais,5
Mat Bramar,Linda Lagos,21
Mat Bramar,Henk Mies,5
Mat Bramar,Anda Ribera,21
Mat Bramar,Inga Ferro,5
Carla Forluniau,Cornelia Lais,9
Carla Forluniau,Rachel Pantanal,9
Carla Forluniau,Mat Bramar,9
Carla Forluniau,Ruscella Mies,9
Carla Forluniau,Linda Lagos,9
Carla Forluniau,Anda Ribera,9
Linda Lagos,Cornelia Lais,1
Linda Lagos,Rachel Pantanal,1
Linda Lagos,Carla Forluniau,1
Linda Lagos,Mat Bramar,1
Linda Lagos,Ruscella Mies,1
Linda Lagos,Anda Ribera,1
Anda Ribera,Cornelia Lais,5
Anda Ribera,Rachel Pantanal,5
Anda Ribera,Carla Forluniau,5
Anda Ribera,Mat Bramar,5
Anda Ribera,Ruscella Mies,5
Anda Ribera,Linda Lagos,5
