source,target,weight
Ingrid Barranco,Irene Nant,5
Ingrid Barranco,Albina Hafon,5
Ingrid Barranco,Isia Vann,5
Ingrid Barranco,Cornelia Lais,5
Ingrid Barranco,Rachel Pantanal,5
Ingrid Barranco,Lars Azada,5
Ingrid Barranco,Mat Bramar,5
Ingrid Barranco,Orhan Strum,5
Ingrid Barranco,Varro Awelon,5
Ingrid Barranco,Emile Arpa,5
Ingrid Barranco,Sven Flecha,5
Ingrid Barranco,Felix Resumir,5
Ingrid Barranco,Ruscella Mies,5
Ingrid Barranco,Birgitta Frente,5
Ingrid Barranco,Sten Sanjorge Jr,5
Ingrid Barranco,Dante Coginian,5
Ingrid Barranco,Axel Calzas,5
Ingrid Barranco,Lidelse Dedos,5
Ingrid Barranco,Gustav Cazar,5
Ingrid Barranco,Adan Morlun,5
Ingrid Barranco,Claudio Hawelon,5
Ingrid Barranco,Isak Baza,5
Ingrid Barranco,Elsa Orilla,5
Ingrid Barranco,Brand Tempestad,5
Ingrid Barranco,Stenig Fusil,5
Ingrid Barranco,Edvard Vann,5
Ingrid Barranco,Varja Lagos,5
Ingrid Barranco,Minke Mies,5
Ingrid Barranco,Carla Forluniau,5
Ingrid Barranco,Felix Balas,5
Ingrid Barranco,Isande Borrasca,5
Ingrid Barranco,Valeria Morlun,5
Ingrid Barranco,Benito Hawelon,5
Ingrid Barranco,Hideki Cocinaro,5
Ingrid Barranco,Marin Onda,5
Ingrid Barranco,Linnea Bergen,5
Ingrid Barranco,Cecilia Morluniau,5
Ingrid Barranco,Adra Nubarron,5
Ingrid Barranco,Lucas Alcazar,5
Ingrid Barranco,Vira Frente,5
Ingrid Barranco,Kare Orilla,5
Ingrid Barranco,Hennie Osvaldo,5
Ingrid Barranco,Kanon Herrero,5
Ingrid Barranco,Nils Calixto,5
Ingrid Barranco,Bertrand Ovan,5
Ingrid Barranco,Ada Campo-Corrente,5
Ingrid Barranco,Loreto Bodrogi,5
Ingrid Barranco,Dylan Scozzese,5
Ingrid Barranco,Willem Vasco-Pais,5
Ingrid Barranco,Linda Lagos,5
Ingrid Barranco,Henk Mies,5
Ingrid Barranco,Anda Ribera,5
Ingrid Barranco,Inga Ferro,5
Orhan Strum,Irene Nant,5
Ada Campo-Corrente,Orhan Strum,8
Ada Campo-Corrente,Ruscella Mies,1
Ada Campo-Corrente,Sten Sanjorge Jr (tethys),8
Ada Campo-Corrente,Willem Vasco-Pais,8
Ada Campo-Corrente,Sten Sanjorge Jr,8
Sten Sanjorge Jr (tethys),Orhan Strum,5
Sten Sanjorge Jr (tethys),Ada Campo-Corrente,5
Sten Sanjorge Jr (tethys),Willem Vasco-Pais,5
Sten Sanjorge Jr (tethys),Sten Sanjorge Jr,5
Willem Vasco-Pais,Orhan Strum,5
Willem Vasco-Pais,Ada Campo-Corrente,5
Willem Vasco-Pais,Sten Sanjorge Jr (tethys),5
Willem Vasco-Pais,Sten Sanjorge Jr,5
