source,target,weight
Irene Nant,Albina Hafon,4
Irene Nant,Valeria Morlun,4
Irene Nant,Benito Hawelon,4
Irene Nant,Adan Morlun,4
Irene Nant,Claudio Hawelon,4
Irene Nant,Cecilia Morluniau,4
Albina Hafon,Irene Nant,4
Albina Hafon,Valeria Morlun,4
Albina Hafon,Benito Hawelon,4
Albina Hafon,Adan Morlun,4
Albina Hafon,Claudio Hawelon,4
Albina Hafon,Dylan Scozzese,9
Albina Hafon,Cecilia Morluniau,4
Varro Awelon,Irene Nant,1
Varro Awelon,Albina Hafon,1
Varro Awelon,Emile Arpa,1
Varro Awelon,Dante Coginian,1
Varro Awelon,Adan Morlun,1
Varro Awelon,Claudio Hawelon,1
Varro Awelon,Valeria Morlun,1
Varro Awelon,Benito Hawelon,1
Varro Awelon,Cecilia Morluniau,1
Varro Awelon,Bertrand Ovan,1
Varro Awelon,Dylan Scozzese,1
Varro Awelon,Henk Mies,1
Dante Coginian,Albina Hafon,4
Dante Coginian,Valeria Morlun,4
Dante Coginian,Bertrand Ovan,4
Dante Coginian,Emile Arpa,4
Dante Coginian,Claudio Hawelon,5
Dante Coginian,Dylan Scozzese,5
Dante Coginian,Henk Mies,4
Dante Coginian,Cecilia Morluniau,1
Claudio Hawelon,Irene Nant,12
Claudio Hawelon,Albina Hafon,12
Claudio Hawelon,Varro Awelon,4
Claudio Hawelon,Emile Arpa,4
Claudio Hawelon,Dante Coginian,4
Claudio Hawelon,Adan Morlun,12
Claudio Hawelon,Valeria Morlun,8
Claudio Hawelon,Benito Hawelon,12
Claudio Hawelon,Cecilia Morluniau,8
Claudio Hawelon,Bertrand Ovan,4
Claudio Hawelon,Dylan Scozzese,8
Claudio Hawelon,Henk Mies,8
Adan Morlun,Irene Nant,1
Adan Morlun,Albina Hafon,1
Adan Morlun,Valeria Morlun,1
Adan Morlun,Benito Hawelon,1
Adan Morlun,Claudio Hawelon,1
Adan Morlun,Cecilia Morluniau,1
Benito Hawelon,Albina Hafon,1
Benito Hawelon,Valeria Morlun,1
Benito Hawelon,Bertrand Ovan,1
Benito Hawelon,Claudio Hawelon,1
Benito Hawelon,Emile Arpa,1
Benito Hawelon,Dylan Scozzese,1
Benito Hawelon,Henk Mies,1
Benito Hawelon,Dante Coginian,1
Cecilia Morluniau,Albina Hafon,4
Cecilia Morluniau,Valeria Morlun,1
Cecilia Morluniau,Adan Morlun,4
Cecilia Morluniau,Claudio Hawelon,4
Cecilia Morluniau,Dylan Scozzese,1
Cecilia Morluniau,Henk Mies,4
Cecilia Morluniau,Dante Coginian,1
Bertrand Ovan,Irene Nant,5
Bertrand Ovan,Albina Hafon,9
Bertrand Ovan,Varro Awelon,5
Bertrand Ovan,Valeria Morlun,9
Bertrand Ovan,Benito Hawelon,5
Bertrand Ovan,Adan Morlun,5
Bertrand Ovan,Emile Arpa,9
Bertrand Ovan,Claudio Hawelon,9
Bertrand Ovan,Dylan Scozzese,9
Bertrand Ovan,Henk Mies,9
Bertrand Ovan,Cecilia Morluniau,5
Bertrand Ovan,Dante Coginian,9
Dylan Scozzese,Irene Nant,1
Dylan Scozzese,Albina Hafon,21
Dylan Scozzese,Valeria Morlun,21
Dylan Scozzese,Benito Hawelon,5
Dylan Scozzese,Bertrand Ovan,4
Dylan Scozzese,Adan Morlun,9
Dylan Scozzese,Claudio Hawelon,9
Dylan Scozzese,Emile Arpa,8
Dylan Scozzese,Henk Mies,4
Dylan Scozzese,Cecilia Morluniau,13
Dylan Scozzese,Dante Coginian,12
Henk Mies,Irene Nant,4
Henk Mies,Albina Hafon,5
Henk Mies,Valeria Morlun,1
Henk Mies,Varro Awelon,1
Henk Mies,Benito Hawelon,5
Henk Mies,Adan Morlun,5
Henk Mies,Emile Arpa,1
Henk Mies,Claudio Hawelon,5
Henk Mies,Dylan Scozzese,4
Henk Mies,Cecilia Morluniau,1
Henk Mies,Dante Coginian,5
