source,target,weight
Minke Mies,Isia Vann,1
Minke Mies,Felix Resumir,1
Minke Mies,Stenig Fusil,1
Minke Mies,Edvard Vann,1
Minke Mies,Varja Lagos,1
Minke Mies,Hideki Cocinaro,1
Minke Mies,Hennie Osvaldo,1
Minke Mies,Kanon Herrero,1
Minke Mies,Loreto Bodrogi,1
Minke Mies,Inga Ferro,1
Loreto Bodrogi,Isia Vann,1
Loreto Bodrogi,Stenig Fusil,1
Loreto Bodrogi,Edvard Vann,1
Inga Ferro,Isia Vann,5
Inga Ferro,Felix Resumir,5
Inga Ferro,Stenig Fusil,5
Inga Ferro,Edvard Vann,5
Inga Ferro,Varja Lagos,5
Inga Ferro,Minke Mies,5
Inga Ferro,Hideki Cocinaro,5
Inga Ferro,Hennie Osvaldo,5
Inga Ferro,Kanon Herrero,5
Inga Ferro,Loreto Bodrogi,5
