source,target,weight
Cornelia Lais,Rachel Pantanal,1
Cornelia Lais,Carla Forluniau,1
Cornelia Lais,Mat Bramar,1
Cornelia Lais,Linda Lagos,1
Cornelia Lais,Anda Ribera,1
Rachel Pantanal,Cornelia Lais,9
Rachel Pantanal,Carla Forluniau,9
Rachel Pantanal,Mat Bramar,9
Rachel Pantanal,Linda Lagos,9
Rachel Pantanal,Anda Ribera,9
Mat Bramar,Cornelia Lais,5
Mat Bramar,Rachel Pantanal,5
Mat Bramar,Carla Forluniau,5
Mat Bramar,Linda Lagos,5
Mat Bramar,Anda Ribera,5
Varro Awelon,Carla Forluniau,5
Ruscella Mies,Cornelia Lais,1
Ruscella Mies,Rachel Pantanal,1
Ruscella Mies,Mat Bramar,1
Ruscella Mies,Carla Forluniau,1
Ruscella Mies,Linda Lagos,1
Ruscella Mies,Anda Ribera,1
Carla Forluniau,Cornelia Lais,4
Carla Forluniau,Rachel Pantanal,4
Carla Forluniau,Mat Bramar,4
Carla Forluniau,Linda Lagos,4
Carla Forluniau,Anda Ribera,4
Adra Nubarron,Cornelia Lais,1
Adra Nubarron,Rachel Pantanal,1
Adra Nubarron,Mat Bramar,1
Adra Nubarron,Carla Forluniau,1
Adra Nubarron,Linda Lagos,1
Adra Nubarron,Anda Ribera,1
Willem Vasco-Pais,Cornelia Lais,4
Willem Vasco-Pais,Rachel Pantanal,4
Willem Vasco-Pais,Mat Bramar,4
Willem Vasco-Pais,Carla Forluniau,4
Willem Vasco-Pais,Linda Lagos,4
Willem Vasco-Pais,Anda Ribera,4
Linda Lagos,Cornelia Lais,1
Linda Lagos,Rachel Pantanal,1
Linda Lagos,Carla Forluniau,1
Linda Lagos,Mat Bramar,1
Linda Lagos,Anda Ribera,1
Anda Ribera,Cornelia Lais,1
Anda Ribera,Rachel Pantanal,1
Anda Ribera,Carla Forluniau,1
Anda Ribera,Mat Bramar,1
Anda Ribera,Linda Lagos,1
