,Day,Network
0,2014-01-06 08:40:00,"[['Sven Flecha', 'Isak Baza', 1], ['Sven Flecha', 'Lucas Alcazar', 1]]"
1,2014-01-06 09:00:00,"[['Kanon Herrero', 'Loreto Bodrogi', 1], ['Kanon Herrero', 'Hennie Osvaldo', 1], ['Kanon Herrero', 'Felix Resumir', 1], ['Kanon Herrero', 'Hideki Cocinaro', 1], ['Kanon Herrero', 'Inga Ferro', 1], ['Kanon Herrero', 'Isia Vann', 1], ['Kanon Herrero', 'Stenig Fusil', 1], ['Kanon Herrero', 'Edvard Vann', 1], ['Kanon Herrero', 'Varja Lagos', 1]]"
2,2014-01-06 09:20:00,"[['Bertrand Ovan', 'Varro Awelon', 1], ['Bertrand Ovan', 'Claudio Hawelon', 1], ['Bertrand Ovan', 'Emile Arpa', 1], ['Bertrand Ovan', 'Albina Hafon', 1], ['Bertrand Ovan', 'Valeria Morlun', 1], ['Bertrand Ovan', 'Dylan Scozzese', 1], ['Bertrand Ovan', 'Benito Hawelon', 1], ['Bertrand Ovan', 'Adan Morlun', 1], ['Bertrand Ovan', 'Henk Mies', 1], ['Bertrand Ovan', 'Cecilia Morluniau', 1], ['Bertrand Ovan', 'Dante Coginian', 1], ['Bertrand Ovan', 'Irene Nant', 1]]"
3,2014-01-06 09:40:00,"[['Mat Bramar', 'Ingrid Barranco', 1], ['Mat Bramar', 'Bertrand Ovan', 1], ['Mat Bramar', 'Lars Azada', 1], ['Mat Bramar', 'Kare Orilla', 1], ['Mat Bramar', 'Marin Onda', 1], ['Mat Bramar', 'Ada Campo-Corrente', 1], ['Mat Bramar', 'Isak Baza', 1], ['Mat Bramar', 'Felix Resumir', 1], ['Mat Bramar', 'Rachel Pantanal', 1], ['Mat Bramar', 'Cornelia Lais', 1], ['Mat Bramar', 'Orhan Strum', 1], ['Mat Bramar', 'Lidelse Dedos', 1], ['Mat Bramar', 'Adan Morlun', 1], ['Mat Bramar', 'Edvard Vann', 1], ['Mat Bramar', 'Axel Calzas', 1], ['Mat Bramar', 'Cecilia Morluniau', 1], ['Mat Bramar', 'Brand Tempestad', 1], ['Mat Bramar', 'Elsa Orilla', 1], ['Mat Bramar', 'Irene Nant', 1], ['Mat Bramar', 'Varro Awelon', 1], ['Mat Bramar', 'Loreto Bodrogi', 1], ['Mat Bramar', 'Gustav Cazar', 1], ['Mat Bramar', 'Adra Nubarron', 1], ['Mat Bramar', 'Felix Balas', 1], ['Mat Bramar', 'Hideki Cocinaro', 1], ['Mat Bramar', 'Ruscella Mies', 1], ['Mat Bramar', 'Sven Flecha', 1], ['Mat Bramar', 'Stenig Fusil', 1], ['Mat Bramar', 'Nils Calixto', 1], ['Mat Bramar', 'Sten Sanjorge Jr', 1], ['Mat Bramar', 'Varja Lagos', 1], ['Mat Bramar', 'Willem Vasco-Pais', 1], ['Mat Bramar', 'Dante Coginian', 1], ['Mat Bramar', 'Birgitta Frente', 1], ['Mat Bramar', 'Carla Forluniau', 1], ['Mat Bramar', 'Lucas Alcazar', 1], ['Mat Bramar', 'Emile Arpa', 1], ['Mat Bramar', 'Albina Hafon', 1], ['Mat Bramar', 'Valeria Morlun', 1], ['Mat Bramar', 'Kanon Herrero', 1], ['Mat Bramar', 'Inga Ferro', 1], ['Mat Bramar', 'Vira Frente', 1], ['Mat Bramar', 'Henk Mies', 1], ['Mat Bramar', 'Linnea Bergen', 1], ['Mat Bramar', 'Claudio Hawelon', 1], ['Mat Bramar', 'Isande Borrasca', 1], ['Mat Bramar', 'Hennie Osvaldo', 1], ['Mat Bramar', 'Dylan Scozzese', 1], ['Mat Bramar', 'Linda Lagos', 1], ['Mat Bramar', 'Isia Vann', 1], ['Mat Bramar', 'Benito Hawelon', 1], ['Mat Bramar', 'Minke Mies', 1], ['Mat Bramar', 'Anda Ribera', 1], ['Valeria Morlun', 'Henk Mies', 1], ['Valeria Morlun', 'Dante Coginian', 1], ['Valeria Morlun', 'Albina Hafon', 1], ['Valeria Morlun', 'Benito Hawelon', 1]]"
4,2014-01-06 10:00:00,"[['Bertrand Ovan', 'Varro Awelon', 1], ['Bertrand Ovan', 'Claudio Hawelon', 1], ['Bertrand Ovan', 'Emile Arpa', 1], ['Bertrand Ovan', 'Albina Hafon', 1], ['Bertrand Ovan', 'Valeria Morlun', 1], ['Bertrand Ovan', 'Dylan Scozzese', 1], ['Bertrand Ovan', 'Benito Hawelon', 1], ['Bertrand Ovan', 'Adan Morlun', 1], ['Bertrand Ovan', 'Henk Mies', 1], ['Bertrand Ovan', 'Cecilia Morluniau', 1], ['Bertrand Ovan', 'Dante Coginian', 1], ['Bertrand Ovan', 'Irene Nant', 1]]"
5,2014-01-06 10:20:00,"[['Varja Lagos', 'Inga Ferro', 1], ['Varja Lagos', 'Loreto Bodrogi', 1], ['Varja Lagos', 'Hennie Osvaldo', 1], ['Orhan Strum', 'Stenig Fusil', 1]]"
6,2014-01-06 10:40:00,"[['Isak Baza', 'Lucas Alcazar', 1], ['Brand Tempestad', 'Felix Balas', 1], ['Brand Tempestad', 'Lars Azada', 1], ['Brand Tempestad', 'Birgitta Frente', 1], ['Lucas Alcazar', 'Isak Baza', 1]]"
7,2014-01-06 11:00:00,"[['Loreto Bodrogi', 'Ingrid Barranco', 1], ['Linnea Bergen', 'Ingrid Barranco', 1], ['Linnea Bergen', 'Bertrand Ovan', 1], ['Linnea Bergen', 'Lars Azada', 1], ['Linnea Bergen', 'Kare Orilla', 1], ['Linnea Bergen', 'Marin Onda', 1], ['Linnea Bergen', 'Ada Campo-Corrente', 1], ['Linnea Bergen', 'Isak Baza', 1], ['Linnea Bergen', 'Felix Resumir', 1], ['Linnea Bergen', 'Rachel Pantanal', 1], ['Linnea Bergen', 'Cornelia Lais', 1], ['Linnea Bergen', 'Orhan Strum', 1], ['Linnea Bergen', 'Lidelse Dedos', 1], ['Linnea Bergen', 'Adan Morlun', 1], ['Linnea Bergen', 'Edvard Vann', 1], ['Linnea Bergen', 'Axel Calzas', 1], ['Linnea Bergen', 'Cecilia Morluniau', 1], ['Linnea Bergen', 'Brand Tempestad', 1], ['Linnea Bergen', 'Elsa Orilla', 1], ['Linnea Bergen', 'Irene Nant', 1], ['Linnea Bergen', 'Varro Awelon', 1], ['Linnea Bergen', 'Loreto Bodrogi', 1], ['Linnea Bergen', 'Gustav Cazar', 1], ['Linnea Bergen', 'Adra Nubarron', 1], ['Linnea Bergen', 'Felix Balas', 1], ['Linnea Bergen', 'Hideki Cocinaro', 1], ['Linnea Bergen', 'Ruscella Mies', 1], ['Linnea Bergen', 'Sven Flecha', 1], ['Linnea Bergen', 'Stenig Fusil', 1], ['Linnea Bergen', 'Nils Calixto', 1], ['Linnea Bergen', 'Sten Sanjorge Jr', 1], ['Linnea Bergen', 'Varja Lagos', 1], ['Linnea Bergen', 'Willem Vasco-Pais', 1], ['Linnea Bergen', 'Dante Coginian', 1], ['Linnea Bergen', 'Birgitta Frente', 1], ['Linnea Bergen', 'Carla Forluniau', 1], ['Linnea Bergen', 'Lucas Alcazar', 1], ['Linnea Bergen', 'Mat Bramar', 1], ['Linnea Bergen', 'Emile Arpa', 1], ['Linnea Bergen', 'Albina Hafon', 1], ['Linnea Bergen', 'Valeria Morlun', 1], ['Linnea Bergen', 'Kanon Herrero', 1], ['Linnea Bergen', 'Inga Ferro', 1], ['Linnea Bergen', 'Vira Frente', 1], ['Linnea Bergen', 'Henk Mies', 1], ['Linnea Bergen', 'Claudio Hawelon', 1], ['Linnea Bergen', 'Isande Borrasca', 1], ['Linnea Bergen', 'Hennie Osvaldo', 1], ['Linnea Bergen', 'Dylan Scozzese', 1], ['Linnea Bergen', 'Linda Lagos', 1], ['Linnea Bergen', 'Isia Vann', 1], ['Linnea Bergen', 'Benito Hawelon', 1], ['Linnea Bergen', 'Minke Mies', 1], ['Linnea Bergen', 'Anda Ribera', 1]]"
8,2014-01-06 11:20:00,"[['Linnea Bergen', 'Ingrid Barranco', 1], ['Linnea Bergen', 'Bertrand Ovan', 1], ['Linnea Bergen', 'Lars Azada', 1], ['Linnea Bergen', 'Kare Orilla', 1], ['Linnea Bergen', 'Marin Onda', 1], ['Linnea Bergen', 'Ada Campo-Corrente', 1], ['Linnea Bergen', 'Isak Baza', 1], ['Linnea Bergen', 'Felix Resumir', 1], ['Linnea Bergen', 'Rachel Pantanal', 1], ['Linnea Bergen', 'Cornelia Lais', 1], ['Linnea Bergen', 'Orhan Strum', 1], ['Linnea Bergen', 'Lidelse Dedos', 1], ['Linnea Bergen', 'Adan Morlun', 1], ['Linnea Bergen', 'Edvard Vann', 1], ['Linnea Bergen', 'Axel Calzas', 1], ['Linnea Bergen', 'Cecilia Morluniau', 1], ['Linnea Bergen', 'Brand Tempestad', 1], ['Linnea Bergen', 'Elsa Orilla', 1], ['Linnea Bergen', 'Irene Nant', 1], ['Linnea Bergen', 'Varro Awelon', 1], ['Linnea Bergen', 'Loreto Bodrogi', 1], ['Linnea Bergen', 'Gustav Cazar', 1], ['Linnea Bergen', 'Adra Nubarron', 1], ['Linnea Bergen', 'Felix Balas', 1], ['Linnea Bergen', 'Hideki Cocinaro', 1], ['Linnea Bergen', 'Ruscella Mies', 1], ['Linnea Bergen', 'Sven Flecha', 1], ['Linnea Bergen', 'Stenig Fusil', 1], ['Linnea Bergen', 'Nils Calixto', 1], ['Linnea Bergen', 'Sten Sanjorge Jr', 1], ['Linnea Bergen', 'Varja Lagos', 1], ['Linnea Bergen', 'Willem Vasco-Pais', 1], ['Linnea Bergen', 'Dante Coginian', 1], ['Linnea Bergen', 'Birgitta Frente', 1], ['Linnea Bergen', 'Carla Forluniau', 1], ['Linnea Bergen', 'Lucas Alcazar', 1], ['Linnea Bergen', 'Mat Bramar', 1], ['Linnea Bergen', 'Emile Arpa', 1], ['Linnea Bergen', 'Albina Hafon', 1], ['Linnea Bergen', 'Valeria Morlun', 1], ['Linnea Bergen', 'Kanon Herrero', 1], ['Linnea Bergen', 'Inga Ferro', 1], ['Linnea Bergen', 'Vira Frente', 1], ['Linnea Bergen', 'Henk Mies', 1], ['Linnea Bergen', 'Claudio Hawelon', 1], ['Linnea Bergen', 'Isande Borrasca', 1], ['Linnea Bergen', 'Hennie Osvaldo', 1], ['Linnea Bergen', 'Dylan Scozzese', 1], ['Linnea Bergen', 'Linda Lagos', 1], ['Linnea Bergen', 'Isia Vann', 1], ['Linnea Bergen', 'Benito Hawelon', 1], ['Linnea Bergen', 'Minke Mies', 1], ['Linnea Bergen', 'Anda Ribera', 1], ['Lucas Alcazar', 'Nils Calixto', 1], ['Lucas Alcazar', 'Sven Flecha', 1]]"
9,2014-01-06 11:40:00,"[['Isak Baza', 'Lucas Alcazar', 1], ['Lucas Alcazar', 'Isak Baza', 1]]"
