,Department,Direction,Date,Network
0,Administration,source,2014-01-06 08:00:00,[]
1,Administration,source,2014-01-06 09:00:00,"[['Mat Bramar', 'Felix Balas', 1], ['Mat Bramar', 'Lidelse Dedos', 1], ['Mat Bramar', 'Adra Nubarron', 1], ['Mat Bramar', 'Marin Onda', 1], ['Mat Bramar', 'Kanon Herrero', 1], ['Mat Bramar', 'Cecilia Morluniau', 1], ['Mat Bramar', 'Gustav Cazar', 1], ['Mat Bramar', 'Felix Resumir', 1], ['Mat Bramar', 'Lucas Alcazar', 1], ['Mat Bramar', 'Willem Vasco-Pais', 1], ['Mat Bramar', 'Valeria Morlun', 1], ['Mat Bramar', 'Nils Calixto', 1], ['Mat Bramar', 'Varro Awelon', 1], ['Mat Bramar', 'Dante Coginian', 1], ['Mat Bramar', 'Bertrand Ovan', 1], ['Mat Bramar', 'Ingrid Barranco', 1], ['Mat Bramar', 'Hideki Cocinaro', 1], ['Mat Bramar', 'Linnea Bergen', 1], ['Mat Bramar', 'Dylan Scozzese', 1], ['Mat Bramar', 'Sten Sanjorge Jr', 1], ['Mat Bramar', 'Anda Ribera', 1], ['Mat Bramar', 'Varja Lagos', 1], ['Mat Bramar', 'Isia Vann', 1], ['Mat Bramar', 'Claudio Hawelon', 1], ['Mat Bramar', 'Orhan Strum', 1], ['Mat Bramar', 'Cornelia Lais', 1], ['Mat Bramar', 'Irene Nant', 1], ['Mat Bramar', 'Henk Mies', 1], ['Mat Bramar', 'Adan Morlun', 1], ['Mat Bramar', 'Rachel Pantanal', 1], ['Mat Bramar', 'Edvard Vann', 1], ['Mat Bramar', 'Emile Arpa', 1], ['Mat Bramar', 'Birgitta Frente', 1], ['Mat Bramar', 'Hennie Osvaldo', 1], ['Mat Bramar', 'Minke Mies', 1], ['Mat Bramar', 'Benito Hawelon', 1], ['Mat Bramar', 'Inga Ferro', 1], ['Mat Bramar', 'Linda Lagos', 1], ['Mat Bramar', 'Stenig Fusil', 1], ['Mat Bramar', 'Isak Baza', 1], ['Mat Bramar', 'Ruscella Mies', 1], ['Mat Bramar', 'Brand Tempestad', 1], ['Mat Bramar', 'Isande Borrasca', 1], ['Mat Bramar', 'Loreto Bodrogi', 1], ['Mat Bramar', 'Lars Azada', 1], ['Mat Bramar', 'Carla Forluniau', 1], ['Mat Bramar', 'Ada Campo-Corrente', 1], ['Mat Bramar', 'Albina Hafon', 1], ['Mat Bramar', 'Elsa Orilla', 1], ['Mat Bramar', 'Kare Orilla', 1], ['Mat Bramar', 'Axel Calzas', 1], ['Mat Bramar', 'Sven Flecha', 1], ['Mat Bramar', 'Vira Frente', 1]]"
2,Administration,source,2014-01-06 10:00:00,[]
3,Administration,source,2014-01-06 11:00:00,[]
4,Administration,source,2014-01-06 12:00:00,"[['Mat Bramar', 'Ruscella Mies', 1], ['Mat Bramar', 'Cornelia Lais', 1], ['Mat Bramar', 'Carla Forluniau', 1], ['Mat Bramar', 'Rachel Pantanal', 1], ['Mat Bramar', 'Linda Lagos', 1], ['Mat Bramar', 'Anda Ribera', 1]]"
5,Administration,source,2014-01-06 13:00:00,"[['Cornelia Lais', 'Ruscella Mies', 1], ['Cornelia Lais', 'Carla Forluniau', 1], ['Cornelia Lais', 'Rachel Pantanal', 1], ['Cornelia Lais', 'Mat Bramar', 1], ['Cornelia Lais', 'Linda Lagos', 1], ['Cornelia Lais', 'Anda Ribera', 1], ['Carla Forluniau', 'Ruscella Mies', 1], ['Carla Forluniau', 'Cornelia Lais', 1], ['Carla Forluniau', 'Rachel Pantanal', 1], ['Carla Forluniau', 'Mat Bramar', 1], ['Carla Forluniau', 'Linda Lagos', 1], ['Carla Forluniau', 'Anda Ribera', 1], ['Anda Ribera', 'Ruscella Mies', 16], ['Anda Ribera', 'Cornelia Lais', 16], ['Anda Ribera', 'Carla Forluniau', 16], ['Anda Ribera', 'Rachel Pantanal', 16], ['Anda Ribera', 'Mat Bramar', 16], ['Anda Ribera', 'Valeria Morlun', 17], ['Anda Ribera', 'Linda Lagos', 16]]"
6,Administration,source,2014-01-06 14:00:00,"[['Anda Ribera', 'Ruscella Mies', 1], ['Anda Ribera', 'Cornelia Lais', 1], ['Anda Ribera', 'Carla Forluniau', 1], ['Anda Ribera', 'Rachel Pantanal', 1], ['Anda Ribera', 'Mat Bramar', 1], ['Anda Ribera', 'Linda Lagos', 1]]"
7,Administration,source,2014-01-06 15:00:00,"[['Mat Bramar', 'Felix Balas', 1], ['Mat Bramar', 'Lidelse Dedos', 1], ['Mat Bramar', 'Adra Nubarron', 1], ['Mat Bramar', 'Marin Onda', 1], ['Mat Bramar', 'Kanon Herrero', 1], ['Mat Bramar', 'Cecilia Morluniau', 1], ['Mat Bramar', 'Gustav Cazar', 1], ['Mat Bramar', 'Felix Resumir', 1], ['Mat Bramar', 'Lucas Alcazar', 1], ['Mat Bramar', 'Willem Vasco-Pais', 1], ['Mat Bramar', 'Valeria Morlun', 1], ['Mat Bramar', 'Nils Calixto', 1], ['Mat Bramar', 'Varro Awelon', 1], ['Mat Bramar', 'Dante Coginian', 1], ['Mat Bramar', 'Bertrand Ovan', 1], ['Mat Bramar', 'Ingrid Barranco', 1], ['Mat Bramar', 'Hideki Cocinaro', 1], ['Mat Bramar', 'Linnea Bergen', 1], ['Mat Bramar', 'Dylan Scozzese', 1], ['Mat Bramar', 'Sten Sanjorge Jr', 1], ['Mat Bramar', 'Anda Ribera', 1], ['Mat Bramar', 'Varja Lagos', 1], ['Mat Bramar', 'Isia Vann', 1], ['Mat Bramar', 'Claudio Hawelon', 1], ['Mat Bramar', 'Orhan Strum', 1], ['Mat Bramar', 'Cornelia Lais', 1], ['Mat Bramar', 'Irene Nant', 1], ['Mat Bramar', 'Henk Mies', 1], ['Mat Bramar', 'Adan Morlun', 1], ['Mat Bramar', 'Rachel Pantanal', 1], ['Mat Bramar', 'Edvard Vann', 1], ['Mat Bramar', 'Emile Arpa', 1], ['Mat Bramar', 'Birgitta Frente', 1], ['Mat Bramar', 'Hennie Osvaldo', 1], ['Mat Bramar', 'Minke Mies', 1], ['Mat Bramar', 'Benito Hawelon', 1], ['Mat Bramar', 'Inga Ferro', 1], ['Mat Bramar', 'Linda Lagos', 1], ['Mat Bramar', 'Stenig Fusil', 1], ['Mat Bramar', 'Isak Baza', 1], ['Mat Bramar', 'Ruscella Mies', 1], ['Mat Bramar', 'Brand Tempestad', 1], ['Mat Bramar', 'Isande Borrasca', 1], ['Mat Bramar', 'Loreto Bodrogi', 1], ['Mat Bramar', 'Lars Azada', 1], ['Mat Bramar', 'Carla Forluniau', 1], ['Mat Bramar', 'Ada Campo-Corrente', 1], ['Mat Bramar', 'Albina Hafon', 1], ['Mat Bramar', 'Elsa Orilla', 1], ['Mat Bramar', 'Kare Orilla', 1], ['Mat Bramar', 'Axel Calzas', 1], ['Mat Bramar', 'Sven Flecha', 1], ['Mat Bramar', 'Vira Frente', 1]]"
8,Administration,source,2014-01-06 16:00:00,[]
9,Administration,source,2014-01-06 17:00:00,"[['Rachel Pantanal', 'Claudio Hawelon', 1]]"
10,Administration,source,2014-01-06 18:00:00,[]
11,Administration,source,2014-01-06 19:00:00,[]
12,Administration,source,2014-01-06 20:00:00,[]
13,Administration,source,2014-01-06 21:00:00,[]
14,Administration,source,2014-01-06 22:00:00,[]
